Unnamed: 0,Job Title,Job Description
68,JavaScript Developer,"Software Engineer: Javascript

About Naehas

Join a pre-IPO, fast-paced, rapidly growing software as a service company based in Silicon Valley. Naehas is a marketing offer and content orchestration platform that supports some of the largest consumer brands in the world. Our customers include four of the top six banks and market leaders in media, communication and insurance.

Weâre expanding our office in the Gurugram area (India) and would like to fill it with team members who value autonomy, collaboration and meaningful work. Our recipe for success is very simple - âPassionate and happy employees translate into happy customers and a world-class productâ.

About the Position

We are seeking to hire a passionate Software Engineer to build features for our flagship naehasâ Platform.

Basic Requirements:

Hands on with AngularJS or EmberJS JavaScript Development Framework
JavaScript developer with at least 1 Yr hands-on experience.
Understanding of HTML5 Features and its development
Hands on BackBoneJS, Framework 7, KnockoutJS is Plus.
Solid knowledge of javascript and css3, bootstrap.
Prior experience working on enterprise web applications is a plus.
Knowledge of working with RESTFul API's
Needs to be able to produce code in a fast paced environment.
Strong problem solving and debugging skills required. -
Preferred Qualifications:

Leading individual projects/sub-projects.
Leading team of 2-6 members.
Computer Science degree from a selective university.

Naehas is a company of people committed to:

Providing the Customer with the finest software backed by consistently top-quality service.
Delivering our software and services efficiently, thus ensuring fair prices to the Customer and a sound investment for the shareholder.
Treating the Customer as we expect to be treated âputting the Customer first every day -and meaning it.
Being leaders in innovation, quality, efficiency, and Customer satisfaction. Being known for doing the little things and the big things well.
Insisting on an inclusive environment where every single person is given the encouragement, support, and opportunity to be successful.
Expecting and accepting from ourselves nothing short of the best. Remembering that each of us makes the unassailable difference.

Naehas is a company of people who expect to:

Be treated fairly. â¢ Work hard in an environment absolutely committed to excellence and Customer satisfaction.
Work with people who respect each other as important individuals. â¢ Have meaningful work to do and the education, equipment, and support to do it.
Know what is required of them and be kept candidly informed of their performance and progress.
Be judged individually by the quality and consistency of their effort, enthusiasm, honesty, and results.
Be encouraged to offer suggestions and ideas with the understanding that each will be promptly considered and responded to; be able to reasonably speak their minds.
Receive ample information about the companyâs plans, activities, and results. If these values resonate with you then we look forward to meeting you.

If these values resonate with you then we look forward to meeting you. Hereâs what we have to offer you as a team member at Naehas:

Competitive salary package that will continue to grow as you gain experience.
A full suite of benefits including health insurance, team parties, outdoor tours, and much more.
A casual workplace that appreciates and respects each employee's ideas.
The agility of a growing and profitable start-up environment building marketing solutions for the largest Fortune 50 customers.
Mentor-ship by some fabulous engineers with a track record of delivering major pieces of software for both large companies and successful startups.
Flexible work arrangements."
70,Database Administrator,overview cure start fred hutchinson cancer research center home three nobel laureate interdisciplinary team world-renowned scientist seek new innovative way prevent diagnose treat cancer hiv/aids life-threatening disease fred hutch â pioneering work bone marrow transplantation led development immunotherapy harness power immune system treat cancer independent nonprofit research institute based seattle fred hutch house nation â first cancer prevention research program well clinical coordinating center woman â health initiative international headquarters hiv vaccine trial network career start database administrator iii work closely customer peer troubleshoot complex technical problem ensure smooth operation database server database application dba iii responsible maintaining data integrity protecting data loss responsibility general guidance database administrator iii expected perform range complex assignment project established solution s/he expected provide solution unique complex problem contribute process improvement within database team act resource mentor le experienced colleague dba iii ha in-depth knowledge database application administration expected subject matter expert one area application support limited tier 2 support customer application ; tier 3 support customized application ; tier 3 backup support enterprise application position may perform following responsibility serve technical lead large complicated project provide new improved database service install configure maintain decommission database server database customer/customized application includes initial installation upgrade patching migration on-prem cloud implementation troubleshoot complex issue database platform database customer application design deliver formal informal presentation variety technical topic peer colleague lead hardware/software evaluation database server database platform lead technical evaluation customer application cit participate technical evaluation enterprise application contribute effort improve process meet strategic goal within dba team across multi-disciplinary group fulfill day-to-day operational task associated database application support design implement script perform etl provide 24/7 support mission critical application database rotating basis limited database platform database customer application serve backup 24/7 support enterprise application architect monitor report database application usage availability ensure proper database monitoring alerting response control limit database access compliance data security policy best practice maintain data integrity monitor database server query high performance create technical documentation diagram comprehensive understandable comply departmental process change management problem management incident management duty assigned qualification professional skill ability analyze provide creative innovative solution complex technical problem proven track record coaching mentoring team member practice personal improvement continuous professional technical education training demonstrate excellent customer service relationship building ability interact successfully communicate clearly must exercise high degree discretion judgment dealing customer vendor fred hutch staff promote positive safe work environment minimum qualification bachelor 's degree preferably computer science information system related field ; equivalent work experience 7+ year experience technical position querying experience sql exposure increasing responsibility strong knowledge sql server administration experience cloud based computing microsoft azure and/or aws solid analytical troubleshooting problem solving skill able work cooperatively establish positive working relationship cross-functional team including customer service system storage administrator networking technician reliable self-starter work independently member team strong organizational interpersonal communication written verbal presentation skill demonstrated ability understand long-term impact choice communicate others commitment diversity committed cultivating workplace diverse perspective experience welcomed respected proud equal opportunity vevraa employer discriminate basis race color religion creed ancestry national origin sex age disability marital veteran status sexual orientation gender identity political ideology membership legally protected class affirmative action employer encourage individual diverse background apply desire priority referral protected veteran due disability need assistance/and reasonable accommodation application recruiting process please send request employee service center escmail @ fredhutch.org calling 206-667-4700
72,Django Developer,"Selected intern's day-to-day responsibilities include:
â¢ Work on both front and back end coding
â¢ Design user interactions on websites, developing databases for website functionality, integrate various frameworks.

Number of Internships available: 5

Duration - 3 Weeks

Skill(s) required - Knowledge of C, C++ programming

Who Can Apply

â¢ B.E. / B.Tech / BCA / MCA / B.Sc. / MSc pursuing or pass-out

Perks

Certificate of Internship
Flexible work hours,
Informal dress code.
Mentoring by Industry Experts

You will learn - Develop web applications with Python language and Django framework and MySQL database

Internship Fee - Candidate needs to pay Internship enrolment fee of Rs. 2,500/- (Two Thousand Five Hundred only)
Website : https://codebetter.in
Job Location : Indore
Years of Experience : 0 Yrs - 0 Yrs
Annual CTC : 100,000 - 120,000
Venue : 403, Shekhar Central, Palasiya Square, A.B. Road, 452001"
73,Full Stack Developer,overview associate front end/full stack developer prolifics seeking associate front end developer java capability proven javascript framework experience successful candidate part elite consulting team responsible design development implementation solution global 1000 customer key responsibility develop application component based java/angular technology stack part global development team business design session architecture review ensure delivery aligns expectation participate code review support qa initiative ensure high-quality delivery design develop solution using integration design pattern single page application framework best practice skills/qualifications required skill strong communication skill ability interface directly client analyst ensure technical requirement delivery alignment bachelor â degree computer science software engineering information technology related field strong analytical design skill including ability understand business requirement translate efficient effective technical design work well within large-scale well-structured enterprise environment effective communication presentation collaboration skill excellent trouble-shooting skill ability quickly identify document root cause issue effectively communicate possible resolution work independently effectively self-directed angular 2 experience oo javascript javascript framework typescript cs html5 experience angular 2/4/5 proven success delivering solution framework ui design experience specifically web application plus java web development servlet/jsp spring framework hands-on experience web application development utilizing java web development purpose primarily spring framework experience development service oriented architecture application good understanding object oriented design design pattern knowledge java server page jsp javascript essential experience mv patterned application using javascript framework preferably angular spring cloud experience plus prolifics 36 year prolifics ha experienced continued growth recognition expertise global service company prolifics provides end-to- end service including architectural advisement design development deployment testing bpm integration security content collaboration solution ha garnered several award technical excellence vision one world â admired technology consulting company delivering competitive advantage client benefit prolifics committed providing competitive comprehensive suite benefit fit need employee information benefit offered please refer website http //prolifics.com/careers/benefits-0
75,DevOps Engineer,"Company Description

KlearNow is an exciting new company providing an innovative state of the art solutions that brings the global supply chain into the digital age. KlearNow is funded by serial entrepreneurs with proven track record and sizable exits already. We are now building our initial team post the founders and are looking for exceptional talent to join us.

Why us

Get in on the ground floor of a startup company with a new product offering that is changing the way technology is leveraged in the global supply chain. We are looking for is an experienced DevOps engineer with a passion for systems automation. You will be responsible for managing innovation in our software release processes, increase the robustness and automation. In this role, you will help bring significant gains to how we build and deploy software, all towards the end- goal of achieving releases that are swift, predictable and of the highest quality.

Experience and responsibilities
Participate in all aspects of the builds, integration, deployment, merging, tools used and automation for our cloud environments
Troubleshooting and solve issues relating to mission critical services across the entire stack
Build robust monitoring for production systems with Nagios, collectd, Prometheus, and Grafana
Develop automation and monitoring tools to help prevent problem recurrence
Define metrics and build systems to measure performance and scale, highlighting the biggest bottlenecks
Craft load tests that prepare our services for large volume of active users
Support internal and customer external SLAâs
Serve as an escalation point for any product issues and ability to be on-call duties to provide 24x7x365 services
Define and own appropriate compliance audits and reports
Comfortable with continuous integration concepts and tools
Provide reporting that provides appropriate context to multiple audiences including product owners, engineering, and sales teams
Qualifications
2+ years / 5+ years (Senior Role) of experience âdoingâ DevOps, including working at large scale with real, highly concurrent, user traffic across multiple data centers and regions
Experience supporting production traffic on AWS or another cloud PaaS
Excellent Linux system administration and automation skills (Ruby, Python, Bash etc.)
Experience with firewalls and network security technologies at scale
Passion for implementing best practices with a focus on rapid growth
Solid hands on skills with at least 50% (75% senior role) of the following:
Servers: Apache, Nginx, Varnish, Memcached, Aerospike, ElasticSearch, Cassandra, RocksDB
Databases: MySQL, PostgreSQL
Automation tools: Ansible, Puppet, Chef, SaltStack or Terraform
Frameworks & tools: Nagios, Docker, Vagrant, Network Analysis Tools
AWS APIs and CLI Tools, EC2 Autoscaling, RDS, S3, Route53
5+ yearsâ experience with developing and delivering configuration and deployment automation using configuration automation tools
Ability to solve mission critical services issues and build automation to proactively detect and prevent their re-occurrences
Experience with firewalls and network security technologies at scale
Experience with Agile methodologies and working in a fast-paced small startup
Excellent written and oral communication skills
Bachelorâs degree in computer science strongly preferred"
76,DevOps Engineer,"Punchh is the leader in customer loyalty, offer management, and AI solutions for offline and omni-channel merchants including restaurants, convenience stores, and retailers. Punchh brings the power of online to physical brands by delivering omni-channel experiences and personalization across the entire customer journey-from acquisition through loyalty and growth-to drive same store sales and customer lifetime value. Punchh uses best-in-class integrations to POS and other in-store systems such as WiFi, to deliver real-time SKU-level transaction visibility and offer provisioning for physical stores.

Punchh is growing exponentially, serves 200+ brands that encompass 91K+ stores globally. Punchh's customers include the top convenience stores such as Casey's General Stores, 25+ of the top 100 restaurant brands such as Papa John's, Little Caesars, Denny's, Focus Brands (5 of 7 brands), and Yum! Brands (KFC, Pizza Hut, and Taco Bell), and retailers. For a multi-billion $ brand with 6K+ stores, Punchh drove a 3% lift in same-store sales within the first year. Punchh is powering loyalty programs for 135+ million consumers.

Punchh has raised $70 million from premier Silicon Valley investors including Sapphire Ventures and Adam Street Partners, has a seasoned leadership team with extensive experience in digital, marketing, CRM, and AI technologies as well as deep restaurant and retail industry expertise.

Number of Openings: 1

Job Location: Jaipur

Experience Required: Minimum 3 years

About the role:

As a DevOps Engineer for Punchh, you will be working with our developers, SRE, and DevOps teams implementing our next generation infrastructure. We are looking for a self-motivated, responsible, team player who love designing systems that scale. Punchh provides a rich engineering environment where you can be creative, learn new technologies, solve engineering problems, all while delivering business objectives. The DevOps culture here is one with immense trust and responsibility. You will be given the opportunity to make an impact as there are no silos here.

Responsibilities:

Deliver SLA and business objectives through whole lifecycle design of services through inception to implementation.
Ensuring availability, performance, security, and scalability of AWS production systems
Scale our systems and services through continuous integration, infrastructure as code, and gradual refactoring in an agile environment.
Maintain services once a project is live by monitoring and measuring availability, latency, and overall system and application health.
Write and maintain software that runs the infrastructure that powers the Loyalty and Data platform for some of the world's largest brands.
24x7 in shifts on call for Level 2 and higher escalations
Respond to incidents and write blameless RCA's/postmortems
Implement and practice proper security controls and processes
Providing recommendations for architecture and process improvements.
Definition and deployment of systems for metrics, logging, and monitoring on platform.

Must have:

Minimum 3 Years of Experience in DevOps.
BS degree in Computer Science, Mathematics, Engineering, or equivalent practical experience.
Strong inter-personal skills.
Must have experience in CI/CD tooling such as Jenkins, CircleCI, TravisCI
Must have experience in Docker, Kubernetes, Amazon ECS or Mesos
Experience in code development in at least one high-level programming language fromthis list: python, ruby, golang, groovy
Proficient in shell scripting, and most importantly, know when to stop scripting and start developing.
Experience in creation of highly automated infrastructures with any Configuration Management tools like: Terraform, Cloudformation or Ansible.
In-depth knowledge of the Linux operating system and administration.
Production experience with a major cloud provider such Amazon AWS.
Knowledge of web server technologies such as Nginx or Apache.
Knowledge of Redis, Memcache, or one of the many in-memory data stores.
Experience with various load balancing technologies such as Amazon ALB/ELB, HA Proxy, F5.
Comfortable with large-scale, highly-available distributed systems.

Good to have:

Understanding of Web Standards (REST, SOAP APIs, OWASP, HTTP, TLS)
Production experience with Hashicorp products such as Vault or Consul
Expertise in designing, analyzing troubleshooting large-scale distributed systems.
Experience in an PCI environment
Experience with Big Data distributions from Cloudera, MapR, or Hortonworks
Experience maintaining and scaling database applications
Knowledge of fundamental systems engineering principles such as CAP Theorem, Concurrency Control, etc.
Understanding of the network fundamentals: OSI, TCI/IP, topologies, etc.
Understanding of Auditing of Infrastructure and help org. to control Infrastructure costs.
Experience in Kafka, RabbitMQ or any messaging bus.

Benefits:

Medical Coverage, to keep you and your family healthy.
Compensation that stacks up with other tech companies in your area.
Paid vacation days and holidays to rest and relax.
Healthy lunch provided daily to fuel you through your work.
Opportunities for career growth and training support, including fun team building events.
Flexibility and a comfortable work environment for you to feel your best.

Punchh is proud to provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. If you'd like more information about your EEO rights as an applicant, please click here.

We also provide reasonable accommodations to individuals with disabilities in accordance with applicable laws.

Notice to recruiters and placement agencies: If you are a recruiter or placement agency, please do not submit rÃ©sumÃ©s to any person or email address at Punchh prior to having a signed agreement with Human Resources. Punchh is not liable for and will not pay placement fees for candidates submitted by any agency other than its approved recruitment partners. Also, any rÃ©sumÃ©s sent to us without an agreement in place will be considered your company's gift to Punchh and may be forwarded to our Talent Acquisition team."
77,JavaScript Developer,"Come join our army of exceptional developers responsible for delighting our customers and internal users. To succeed in this role, you must be:

Must Have:

An excellent problem solver.
Have a good understanding of inheritance and appreciation for object oriented programming concepts in Javascript
Demonstrate familiarty and comfort with Javascript libraries and their quirks, workarounds. (Knowing how to use DOM manipulation frameworks like Jquery and doing validationsor writing an 'if' condition does not necessarily = knowing Javascript)
Have an Intermediate level understanding of HTML5, CSS3 Hands-on experience with any of the JS Frameworks like Angular, React, Backbone etc.
Comprehensive experience with asynchronous request handling, partial page updates, AJAX
A minimum of 2 years full-time experience as a Javascript Developer"
79,Full Stack Developer,â small team experienced developer determined change modern mobility including entrenched car rental industry emphasize team ownership iterative development moving fast without breaking thing â looking someone drive development restful apis building rapidly scaling backend ideal candidate experience web programming comfortable working aws infrastructure know whatever framework library currently use open mastering new framework necessary currently hiring full-stack engineer experience level sde sde ii senior sdes applicant minimum 1+ year professional software development experience fluency least one dynamic language ruby preferred silvercar might building apis client facing apps ruby rail interacting data store like rds elasticache redis others creating maintaining scalable infrastructure leveraging modern aws product building amazing ux client side apps angular bootstrap j framework writing test documentation work feature development scrum team maintaining expertise current emerging technology tool technical friend would say really grok ci jenkins etc source control tool git ca n't go sleep knowing test failing really know scalable infrastructure love agile development delivering code make thing work get thing done great communicator would never consider rockstar ninja know automotive bus think unlocking audi via ssh sound awesome non-tech friend might even say make excellent informed decision know ask advice take work seriously â take seriously enjoy mentoring others leading example love learn new thing quickly like working team leave thing better found offer competitive base salary bonus incentive eligibility full benefit medical dental vision 401k pto working dynamic team downtown austin alongside developer product-owners friendly small company environment progressive culture flexible hour backed 107 year old automotive industry leader
80,Full Stack Developer,snapstream small agile tech company based washington/heights area houston full intelligent self-starter work hard lot fun casual office flexible hour free food great people seeking newest initiate currently looking full-time senior full-stack developer engineering team want make big impact design implementation product ? snapstream snapstream engineer key ingredient success take hiring seriously strive strengthen team passionate talented software developer join u long-haul requirement bachelor â degree technical field c ce preferred excellent mastery common data structure algorithm excellent programming skill c++ excellent programming skill c java excellent understanding full stack excellent technical communication skill excellent understanding software security experience source control ability think act like user least 7 year professional software development experience commercial software preferred skill tool experience tech lead least one major project c++ c java html cs javascript jquery visual studio bonus skill tool asp.net mvc signalr directshow android io ux benefit snapstream offer health insurance vision dental life insurance flexible spend account fsa paid vacation 401k plan addition fund gym membership promote fitness supply smart coworkers great work environment flexible hour relaxed dress code kitchen stocked snack health food red bull fruit whatever else think
83,Full Stack Developer,highlight full stack developer ideal candidate responsible developing custom application using react javascript cs node mongodb ideal applicant able thrive highly collaborative workplace actively engage development process responsibility develop functional fast-responsive web application using markup language troubleshoot user interface improve performance accordingly detect fulfill front-end back-end requirement consistently develop deliver high-quality low-defect feature schedule qualification 2+ year proven experience software developer using react javascript cs html node understanding software quality assurance principle continuous integration ability perform several task time communication skill collaborate customer development ba qa csm desired skill previous experience scrum/agile environment mongodb experience
84,Database Administrator,database administrator & developer database administrator/developer full-time position primarily responsible maintenance production microsoft sql server database server development coding deployment web report persisted datasets reporting system data visualization tool biopharmaceutical environment responsibility include create stored procedure function trigger t-sql code satisfy application customer requirement write ad-hoc query end-users extracting data light manufacturing laboratory information system denormalized data store design develop report using sql server reporting service work development team address bug fix enhancement request perform code review analyze execution plan refactor inefficient sql code contribute development maintenance transactional data warehouse system participates 24x7x365 call support rotation well evening weekend maintenance deployment cycle needed assist development team migrating database change test production server assist data analyst data curation ad-hoc reporting request minimum skill experience 4 year work experience relational database system 2 year experience bachelor â degree computer science engineering life science demonstrated competency writing code using development tool within microsoft sql server product suite demonstrated competency using database reporting tool ssrs preferred may substituted tableau crystal report experience working pharmaceutical biotechnology laboratory work environment preferred laboratory information management system lims experience preferred manufacturing system would appropriate substitute proficiency linux-based database platform desirable required roche 94000 people across 100 country pushing back frontier healthcare working together â become one world â leading research-focused healthcare group success built innovation curiosity diversity roche equal opportunity employer information technology information technology > architecturesan jose roche 94000 people across 100 country pushing back frontier healthcare working together â become one world â leading research-focused healthcare group success built innovation curiosity diversity roche equal opportunity employer strictly prohibits unlawful discrimination based upon individual â race color religion gender sexual orientation gender identity/expression national origin/ancestry age mental/physical disability medical condition marital status veteran status characteristic protected law
85,Software Engineer,"Responsibilities
Develop functional and design specifications for server components of system management solution. These features and capabilities range from appliance management, configuration, HA cluster formation, bring-up of various management services, synchronize services' state across controllers in a cluster, manage bring-up of embedded database, ensure security capabilities are adequate.
Develop server components in Java and related technologies.
Analyze the performance characteristics of back-end modules. Identify inefficiencies and bottlenecks. Propose, implement and test fixes.
Create implementation and test plans. Develop software and implement test cases according to these plans.
Ensure that work is completed on time to meet the business requirements by following procedures for source code control, unit testing, end-to-end testing, and design documentation
Ensure the stability and scalability of new features and the interoperability with pre-existing system architecture. Collaborate with other developers to select appropriate design solutions.
Communicate effectively with individuals of varying technical abilities and professional backgrounds
Qualifications
Masterâs or Bachelorâs degree in Computer Science, Mathematics or similar field.
4+ years of development experience designing and implementing web based backend components in JAVA.
Strong working experience with Linux OS, OS creation and configuration of packages, such as Tomcat, databases such as Postgres.
Strong knowledge of platform management, device configuration and management for both physical and virtual appliances.
Outstanding skills with Java and Script development in Linux development environment.
Strong system level knowledge of building databases, OS, OVF, Tomcat, libcurl, SSL technologies.
Prior experience of using APIs and developing APIs of different kinds including REST
Prior experience in Storage, Network, and/or System Management is a plus.
Development experience designing and implementing backend components in Go is a plus
Excellent verbal, written, and communications skills
Ability to handle multiple concurrent activities and have a flexible, positive attitude"
86,Machine Learning,"We use machine learning at the very core of the platform to personalize incredible candidate experiences; recommend, inform and provide predictions to Talent Acquisition professionals. Machine Learning / Data Engineers are responsible for full lifecycle development including exploration, design, architect, validation and management. Team members lead the product platform by creating new capabilities through AI/ Machine Learning that are exploited in various throughout the platform.
Key responsibilities of the role include:
Â· Create tools and systems that will make our team more scalable
Â· Troubleshoot technology problems in the line of collection and delivery
Â· Monitor and track project performance against set goals and objectives
Â· Work and communicate effectively with other departments, IT professionals, and other colleagues
Â· Keep up-to-date on edge technology
Â· Lead individual projects priorities, deadlines and deliverables using AGILE methodologies
Â· Deliver high efficiency, high availability, fault tolerant software systems
Â· Work with product management and business users to define the roadmap for the product
Â· Design and develop innovative solutions to complex problems, identifying issues and roadblocks
Â· Be a leader with vision and a partner in brainstorming solutions for team productivity, efficiency, training and motivating developers, and hiring new
Qualifications:
Â· Ideally, experience working in a data-centric team or organization that delivers or manages data assets
Â· Good analytical, mathematical and problem solving skills
Â· Experience leveraging open source data
Â· Experience working with and/or creating APIs and web services integrating data into larger platform
Â· Exposure to AWS (preferred) or other Cloud platforms
Skills required include:
Â· Excellent knowledge of Java (preferred), Scala or Python
Â· Excellent knowledge of Apache Spark, other libraries used in conjunction and associated capabilities of the platform.
Â· Ability to catalog, locate and identify patterns and anomalies in large datasets
Â· Database experience (SQL, DDL/DML, performance tuning, data modeling).
Â· Good understanding of UNIX/LINUX environments.
Â· Experience with relational and non-relational databases
Personal characteristics
Â· High learning agility
Â· Introspective and self-aware
Â· Not afraid of failure and demonstrated ability to learn from past experience
Â· Perform diverse and complex tasks with accuracy and attention to detail.
Â· Communicate effectively both verbally and in writing, particularly with global colleagues.
Application Deadline: 20/12/2020
Expected Start Date: 31/12/2020
Job Type: Full-time
Salary: â¹1,000,000.00 - â¹2,000,000.00 per year
Schedule:
Day shift
Experience:
Machine Learning: 3 years (Required)
work: 3 years (Required)
total work: 3 years (Required)
Education:
Bachelor's (Preferred)"
87,Database Administrator,summary directly support lending management facilitation participation purchase transaction establishing managing network lead lender potential participation purchase accountable underwriting portfolio purchased participation transaction presenting credit recommendation lending management facilitating loan closing servicing booked participation contributes effective risk management obtaining executed loan document performing ongoing due diligence monitoring lead lender performing collateral administration qualification perform job successfully individual must able perform essential duty satisfactorily requirement listed representative knowledgeskilland/or ability required reasonable accommodation maybe made enable individual disability perform essential function bachelor â degree accounting finance similar degree field preferred equivalent progressive work experience in-depth knowledge advanced loan documentation banking law regulation five year â proven success sale business development strong focus building relationship five year experience consumer lending and/or underwriting experience commercial lending helpful required humble lack excessive ego concern status quick point contribution others slow seek attention self share credit emphasize team self define success collectively rather individually hungry always looking thing learn responsibility take self-motivated diligent constantly thinking next step next opportunity smart common sense people tend know happening group situation deal others effective way demonstrates good judgment intuition around subtlety group dynamic impact word action essential function direct purchased participation loan network identifying target lead lender ; actively work loan participation establish ongoing contact identified network ensure steady stream potential loan purchase ; establish maintain ongoing due diligence lead lender ; conduct research identify target market originator within market key factor ideal region originator set participation policy annual growth goal directed lending management team ; develop list lead lender gather necessary information conduct due diligence review maintain up-to-date database investment opportunity ; establish ongoing contact network lead lender ; direct loan decision-making process due diligence underwriting lead lender â loan package ensure compliance county federal â general loan policy product parameter ; contribute sound loan portfolio management ; refine internal process underwriting review booking process support servicing function ; ensure regulatory compliance maintained within purchased participation portfolio ; prepare underwriting credit review present purchased participation management recommended decision ; communicate credit decision approved loan term lead lender ; execute commitment letter participation agreement lead lender ; perform administrative task document review approval ensure proper loan review reporting ; provide credit administration ensuring proper documentation closing loan transaction conducting ongoing account monitoring ; order obtain review approve pre-closing requirement arrange funding date lead lender determine necessary closing loan document obtain draft signed loan document lead lender ensure loan document reviewed approved lending management legal counsel notify lead lender documentation concern ; coordinate funding participation provide instruction fund ; collect fee lead lender ; coordinate ongoing servicing delinquency monitoring purchased participation pool lead lender ; schedule maintain ongoing credit review purchased participation knowledge skill ability strong knowledge experience reporting database strong analytical skill ability collect organize analyze disseminate significant amount information attention detail accuracy ability work cross-functionally employee level organization innovative strategic thinker excellent analytical problem solving project management skill exceptional communication presentation skill effective working consultant vendor outside agency ability work independently team member using discretion decision making sound judgment problem solving effective oral written communication skill relationship management coaching collaboration skill continuous learner unafraid champion new different idea determination see physical requierments physical demand described representative must met employee successfully perform essential function job reasonable accommodation may made enable individual disability perform essential function full-time hour required additional work hour necessary accomplish objective goal project regularly required talk hear frequently required sit ; use hand finger able handle feel reach hand arm occasionally required stand walk occasionally lift and/or move 10 pound specific vision ability required job include close vision color vision ability adjust focus eeo statement sccfcu doe discriminate employment opportunity practice basis race color religion creed sex national origin age disability marital status pregnancy childbirth breastfeeding related condition ancestry medical condition including genetic characteristic veteran military status sexual orientation gender expression person holding undocumented â ab â 60 â driver â license characteristic protected law provision also includes perception anyone ha characteristic associated person ha perceived one characteristic discrimination unlawful _this job description exclusive exhaustive list job function employee position may asked perform time time santa clara county federal credit union reserve right revise change job duty responsibility need arises._
88,Java Developer,"Job Title: Java Developer
Experience: Senior (6+ Years) - 4 Numbers & Architect (10+ Years) - 2 Numbers
Location: Coimbatore-641012
Notice Period: Immediate or 15 days
Requirements:
Bachelorâs degree in Software Engineering or Computer Science.
Previous work experience as a Software or Java Architect.
Advanced knowledge of software architecture.
Proficiency with Java, Java Beans, Java Servlets, and JavaScript.
Experience with the design and implementation of software networks.
Experience with software design and web programming.
High-level project management skills.
Ability to solve complex software system issues.
Good communication skills.
Job Type: Full-time
Salary: â¹1,200,000.00 - â¹2,500,000.00 per year
Schedule:
Day shift
Morning shift
Experience:
Java: 4 years (Preferred)
Education:
Bachelor's (Preferred)"
89,Database Administrator,wilshire associate incorporated global investment advisory firm offer customized institutionally based solution meet investment need client wilshire fund management wfm division wilshire associate incorporated dedicated provide customized investment solution area asset allocation manager research portfolio construction risk management seeking identify senior database developer join operation technology team successful candidate responsible analysis design developing complex system application portfolio management process individual involved aspect project life cycle includes design programming testing implementation maintenance documentation she/he provide support business system developing maintaining enhancing existing web client based application re-engineering program conform system change solving complex customer third party data key responsibility database installation upgrading database management tuning monitoring performance database optimization database backup recovery restoration process implementation administration user database permission creation technical documentation desired skill background bachelor advanced degree computer science 0-3 year experience programming experience transact sql sql server knowledge sql server 2008/2014/2017 knowledge microsoft ssms ssrs ssis experience implementing maintaining tuning deploying development production environment experience creating table view stored procedure function concept database system security principle practice database administration dba principle practice research methodology data analysis etl data analysis experience offer international dynamic entrepreneurial work environment competitive compensation package including bonus opportunity 3 week vacation 8 paid holiday per year 401 k /roth 401 k /medical/dental/vision & life insurance visit www.wilshire.com additional company information wilshire associate incorporated equal opportunity employer minority/female/disability/veteran wilshire associate incorporated sec registered investment adviser required track certain political contribution rule 206 4 -5 may required disclose prior political contribution phone call required skill required experience
90,DevOps Engineer,"Ability to stay organized while multitasking in a fast paced environment
Ability to manage multiple projects with shifting requirements, dates, and priorities
Ability to coordinate and communicate with teams in multiple time zones globally
Fast paced self-directed learner able to pick up and master new technologies on the fly
DNS Subject matter expert
Atleast 5+ years experience administering enterprise BIND instances on large scale
Thorough operational understanding of DNS-sec
DNS troubleshooting and monitoring experience
Atleast 5+ years load balancer administration experience
Should have 8+ years Linux system administration experience
Python scripting experience
automation tooling, Terraform and Ansible
consuming REST APIs
Experience using configuration management tools such as puppet/ansible/chef/terraform to manage large fleet of servers
Enterprise monitoring experience such as LogicMonitor, Zabbix, icinga, or Splunk
Experience in 24x7 support role with oncall rotation"
