correctness,eye_contact,posture,fluency,speech_rate,pause_count,filler_count,smile_score,head_stability,confidence_label
86,78,62,50,160,15,4,24,54,61.17
67,100,61,40,89,8,13,86,76,65.45
64,31,93,64,86,20,1,76,61,58.23
93,68,70,53,139,13,2,77,61,70.87
71,68,65,65,82,8,7,79,60,62.92
78,97,42,78,139,1,11,14,63,66.5
66,61,50,37,151,17,2,53,77,56.55
42,99,31,73,81,5,0,44,49,53.65
91,37,51,73,137,3,4,86,50,67.08
86,84,91,59,134,15,11,26,35,67.08
51,37,32,45,109,12,6,14,84,45.47
96,59,50,99,101,17,7,41,52,68.45
92,45,67,43,115,0,6,75,21,60.88
66,94,96,81,141,3,1,64,25,70.04
74,51,72,44,165,4,3,21,68,55.17
81,67,74,64,109,9,13,87,25,65.87
42,36,81,43,152,14,4,44,85,50.65
66,31,64,49,161,9,8,75,44,53.27
100,83,62,65,174,13,0,89,73,74.81
85,81,32,70,85,12,4,17,40,57.86
73,97,54,97,124,11,15,22,50,68.72
53,49,47,89,142,5,15,52,21,54.3
99,52,60,34,162,1,9,98,21,62.14
50,79,60,85,158,8,6,92,28,61.94
74,50,57,91,86,15,15,13,23,53.8
78,69,46,81,172,19,3,47,69,63.37
76,92,91,36,106,13,6,95,24,66.29
94,31,91,50,158,20,9,96,77,68.47
95,68,34,94,92,20,9,94,72,73.47
57,74,61,65,160,2,0,69,30,58.04
60,81,84,55,147,1,3,91,71,68.21
68,67,71,50,121,12,0,73,36,61.29
95,38,70,30,81,15,12,19,77,54.96
99,50,57,63,87,7,0,88,36,65.29
99,74,98,61,123,0,6,17,96,75.28
47,72,30,80,103,2,7,26,24,49.65
59,50,87,60,179,10,3,24,26,49.69
90,57,80,87,84,4,13,17,83,67.12
49,67,37,54,152,1,14,59,86,56.09
88,65,97,70,168,17,9,30,55,65.96
51,31,42,82,111,15,15,41,30,48.35
49,44,46,69,97,8,8,68,97,56.6
99,51,59,73,111,18,13,30,51,64.65
69,68,41,76,97,20,12,30,27,54.51
85,36,52,51,168,12,1,11,48,51.22
60,81,56,79,174,14,2,32,63,59.24
52,51,72,66,140,0,7,12,82,56.01
93,48,52,58,109,6,11,34,27,57.95
81,87,45,30,84,2,0,13,83,57.24
81,39,50,75,170,1,8,22,28,53.16
91,65,87,83,91,16,13,23,53,66.61
92,49,45,99,135,18,4,67,23,67.58
86,33,49,39,103,2,9,46,73,56.16
79,50,67,75,83,12,3,26,90,61.68
43,43,32,87,134,19,3,33,53,51.02
69,48,60,89,139,18,0,72,41,63.66
63,59,87,60,179,18,15,54,74,59.36
88,84,47,92,171,14,10,66,64,71.38
72,46,99,33,99,15,14,100,34,59.32
45,76,38,45,148,19,12,19,69,49.39
42,99,80,48,121,2,13,35,88,61.63
68,93,66,78,100,9,15,14,89,65.98
65,33,68,64,80,3,5,50,73,54.71
85,89,89,86,110,19,7,98,55,78.99
60,59,53,59,165,6,2,64,33,53.98
95,39,45,83,174,9,8,86,89,69.22
83,74,85,86,100,3,1,42,26,66.94
45,44,61,49,167,14,15,80,40,48.88
81,55,43,86,116,20,1,78,22,63.68
62,66,78,48,168,20,15,21,80,55.8
80,62,79,97,150,0,0,33,80,71.05
100,57,87,72,120,6,5,58,36,71.17
73,99,99,94,153,20,4,11,41,69.32
87,86,95,45,130,6,5,85,59,75.02
77,89,88,39,178,18,14,58,83,65.73
71,36,50,49,105,3,13,95,34,55.55
95,43,56,69,137,16,14,75,44,66.59
95,32,73,71,178,5,6,61,42,61.73
64,79,72,48,148,18,10,21,93,61.11
47,53,70,65,180,20,7,64,28,49.91
86,44,77,71,139,19,5,21,21,59.08
46,32,32,56,119,5,0,10,27,40.35
76,61,77,33,173,5,13,28,51,53.99
48,41,40,75,95,0,14,30,49,47.52
52,63,33,57,174,4,8,12,87,49.52
64,49,63,55,84,2,12,18,69,51.7
45,89,73,40,145,14,11,82,22,56.16
51,59,50,57,169,0,4,44,71,52.67
73,70,80,76,161,10,8,32,67,64.49
61,46,98,40,173,14,10,44,52,52.63
59,45,63,95,178,7,7,37,66,57.2
78,99,49,30,151,2,3,67,44,62.63
86,67,44,92,100,2,8,62,65,69.23
91,43,46,68,88,2,11,86,98,67.92
57,35,52,88,170,1,7,55,57,54.93
53,91,64,48,109,13,10,93,44,61.51
79,43,55,51,127,18,13,60,22,56.45
81,48,57,74,150,13,14,82,38,63.58
86,43,67,82,140,3,7,90,49,69.62
48,93,62,81,168,13,10,62,78,63.91
53,70,97,97,171,7,1,95,60,69.17
95,84,45,91,127,11,2,20,83,74.13
85,79,50,98,127,19,4,76,63,75.75
72,90,38,97,114,16,1,97,84,75.85
47,74,76,69,155,11,13,56,34,56.71
80,48,55,81,172,7,4,60,57,62.06
59,58,80,33,134,6,11,37,23,51.6
61,74,96,95,167,1,10,64,20,64.67
47,67,35,54,161,16,12,21,25,44.18
65,56,37,94,136,12,0,49,33,59.69
74,77,85,78,92,5,0,55,81,69.9
47,72,49,68,164,20,0,73,81,59.05
81,83,38,66,128,8,0,97,40,69.66
90,88,68,84,120,6,12,73,30,73.98
85,48,40,75,124,0,7,28,95,65.26
47,90,41,90,112,12,9,78,27,61.01
64,75,59,76,166,16,14,93,37,63.19
41,97,62,65,161,4,2,37,59,57.09
59,44,70,68,81,8,9,75,70,57.73
50,39,43,80,152,6,11,12,89,52.15
66,31,67,32,95,7,1,90,60,53.92
51,64,94,84,124,14,9,94,81,70.65
88,54,52,53,117,20,5,27,55,59.45
74,74,82,59,139,11,1,41,86,68.1
42,57,73,70,142,7,10,57,51,56.04
97,86,62,53,118,1,7,37,56,69.23
46,97,66,85,144,0,14,29,38,60.42
68,89,47,64,122,14,14,100,30,66.15
88,67,93,98,87,1,15,65,95,77.42
77,94,60,33,129,4,13,97,78,71.32
42,74,33,55,106,13,5,73,70,54.56
89,35,88,44,109,9,4,46,61,61.15
99,64,35,97,97,8,0,38,96,72.26
98,76,46,51,147,4,4,58,32,65.25
73,82,80,32,121,1,15,60,65,64.62
83,50,73,40,147,18,0,72,43,60.81
100,42,40,80,96,2,11,91,43,67.02
97,48,66,37,107,4,0,45,38,59.48
66,40,83,74,126,11,5,30,30,57.07
78,34,85,49,120,13,9,21,89,59.88
56,48,55,77,131,5,14,64,94,63.52
72,91,52,44,106,10,15,90,70,66.45
92,80,76,33,86,12,2,57,92,67.65
47,74,48,92,117,2,10,78,32,60.89
86,90,60,51,172,10,2,63,29,63.31
81,93,50,95,120,2,7,39,76,73.75
69,76,64,48,87,16,7,80,49,60.23
46,96,94,65,104,4,0,24,56,60.33
52,37,34,89,152,0,3,44,85,55.94
79,52,38,63,125,13,15,13,49,55.81
70,32,43,89,156,12,15,43,64,57.39
100,45,95,69,96,1,9,25,79,68.39
41,95,42,85,110,1,6,76,27,59.6
62,84,56,82,118,0,0,39,72,65.9
52,50,48,82,98,16,6,32,51,52.1
49,39,83,81,99,17,13,59,47,55.28
85,82,53,51,109,3,12,68,27,63.57
57,41,60,63,161,1,14,84,95,60.34
88,86,55,47,175,5,0,96,69,69.3
47,70,35,98,123,10,8,74,38,60.49
48,56,63,73,147,3,1,24,70,55.24
52,78,99,85,155,18,4,26,77,64.53
62,58,62,89,170,9,14,32,40,56.4
82,42,62,53,90,16,3,56,44,56.41
69,50,41,66,121,16,4,57,47,57.69
80,76,47,100,92,17,4,22,50,63.91
41,45,38,67,154,0,3,96,64,54.39
84,63,38,37,86,3,1,12,47,51.19
45,73,50,57,133,0,3,30,32,51.59
96,78,83,39,132,11,14,62,93,74.54
85,42,66,53,81,16,3,23,29,51.86
74,54,32,46,91,19,7,38,62,52.09
64,89,94,57,95,14,0,67,95,69.58
66,82,71,88,126,8,1,46,25,65.54
46,54,62,84,137,6,3,66,31,57.16
55,72,36,80,152,10,7,96,91,66.21
84,88,33,96,108,8,12,37,96,72.52
54,73,33,38,84,19,1,84,34,50.06
71,57,51,46,138,11,6,66,45,58.15
64,39,74,40,156,20,7,77,47,54.31
50,94,78,76,131,5,7,63,79,69.61
96,76,60,75,105,16,1,14,71,68.15
80,83,62,79,117,1,14,70,40,69.89
85,98,35,67,141,17,13,83,65,72.43
52,32,35,37,123,12,10,42,100,49.79
87,79,40,57,149,8,15,77,67,68.11
95,93,88,91,155,10,4,98,37,80.77
58,84,55,35,83,11,2,38,78,54.38
100,46,72,95,113,7,12,17,84,71.3
82,68,88,73,88,4,9,45,47,65.15
81,72,71,95,134,7,15,100,41,75.59
76,56,96,42,124,9,3,18,73,61.47
95,56,63,30,111,6,0,76,39,62.37
92,64,46,47,124,19,12,93,72,69.34
66,97,94,30,137,12,3,96,29,66.33
98,70,34,94,96,1,7,50,87,72.63
44,40,85,80,100,2,11,35,38,51.52
84,89,100,76,150,7,4,30,97,76.16
43,52,44,37,120,15,2,55,47,47.21
85,97,44,66,80,2,14,33,46,62.66
79,92,90,65,177,9,3,76,53,70.17
96,78,82,52,148,20,13,50,76,71.64
100,89,83,99,180,9,7,16,57,73.39
60,90,32,80,165,14,3,85,57,63.92
90,65,70,98,92,17,13,71,44,70.88
87,56,80,86,126,3,6,25,41,67.04
60,83,50,45,138,9,9,41,78,59.85
73,38,40,39,165,16,3,57,71,52.56
86,54,50,94,142,18,3,90,85,74.4
79,44,68,99,80,14,6,48,76,64.86
56,63,70,42,149,5,3,61,22,52.94
56,92,78,76,134,0,0,76,34,67.6
75,61,97,47,162,10,3,44,97,65.19
97,62,43,63,140,3,7,68,48,67.67
58,35,78,69,162,20,0,78,46,56.5
55,35,42,93,141,2,2,85,99,64.35
98,72,49,97,123,1,7,31,76,74.58
76,36,85,96,95,18,2,91,99,72.22
47,41,82,34,106,11,0,15,24,42.37
96,57,98,88,112,17,15,28,88,74.54
98,95,76,68,147,0,12,93,73,81.21
46,43,48,83,172,19,12,33,82,51.69
49,86,37,91,108,9,0,75,25,60.03
97,98,57,91,120,4,1,99,60,83.06
88,78,100,32,89,1,8,44,99,68.51
41,53,67,51,105,10,6,48,48,49.23
86,49,70,83,99,11,2,93,85,72.63
69,82,63,51,146,5,14,36,29,57.97
48,77,99,88,179,1,12,77,84,67.58
58,55,39,82,158,18,15,30,41,52.41
75,59,54,57,144,16,12,77,26,59.73
88,38,65,30,89,3,8,55,51,54.95
71,35,77,67,96,9,1,36,73,57.96
89,64,54,57,94,3,12,82,46,64.67
65,48,46,72,120,9,1,93,59,62.76
78,52,81,76,142,0,8,78,62,69.44
87,63,69,90,129,2,13,67,52,73.08
50,45,77,39,161,5,14,28,55,47.57
98,92,75,32,153,5,0,100,27,70.85
90,35,68,89,107,0,5,46,28,62.9
57,85,88,31,140,10,10,69,59,61.75
75,66,47,92,101,10,9,66,96,69.97
43,36,90,83,167,3,11,88,20,54.39
94,32,67,30,117,20,15,38,24,53.5
88,50,100,96,126,19,2,44,87,75.99
44,30,97,41,139,9,6,34,40,47.46
100,92,81,54,134,13,15,64,24,72.71
75,78,87,68,159,0,0,94,80,73.85
48,35,64,68,101,8,5,14,61,48.11
62,96,59,86,165,8,12,46,32,62.52
71,75,52,74,96,7,4,75,25,61.61
83,47,51,62,109,16,13,41,61,59.56
90,39,65,63,152,9,11,20,97,63.31
78,76,48,44,107,7,10,18,66,57.99
72,91,48,96,153,7,14,74,48,70.26
89,42,30,63,172,15,14,86,67,61.37
88,93,90,58,118,16,6,22,88,72.85
65,78,96,36,137,16,6,62,84,66.25
88,91,46,72,104,2,14,38,51,67.01
65,45,54,83,107,8,7,65,84,63.07
68,70,80,100,157,18,2,75,60,70.72
84,44,32,40,132,13,13,66,37,56.25
90,77,95,37,101,5,11,66,55,67.93
54,86,78,74,161,1,12,54,98,67.13
59,93,96,32,133,13,15,49,78,64.81
94,91,33,89,154,10,15,100,49,75.7
82,31,91,78,88,1,12,88,67,66.98
64,65,37,87,180,15,12,71,58,59.71
71,87,93,73,108,6,11,18,25,62.75
68,87,46,45,166,2,4,73,55,60.46
81,91,71,71,140,12,10,63,35,69.89
47,88,86,69,138,1,13,85,29,64.21
83,40,31,79,91,18,9,32,37,53.98
71,91,67,96,117,2,13,70,20,69.88
69,74,57,50,92,3,6,31,93,59.94
78,82,33,52,149,19,9,93,95,69.05
72,57,37,30,116,5,12,30,54,51.36
54,34,89,75,129,15,5,98,75,65.4
85,88,58,100,156,5,1,11,27,66.28
50,83,67,77,106,19,11,52,80,63.21
70,90,96,64,174,14,15,22,54,62.68
91,88,50,83,154,15,4,44,57,70.57
70,53,78,61,134,14,15,67,22,60.18
55,98,39,54,147,18,10,75,93,64.81
100,72,54,49,127,18,6,33,30,63.89
85,84,57,98,142,4,2,30,31,68.99
89,33,71,67,104,13,10,41,30,58.26
100,47,56,84,133,17,7,96,94,78.3
60,73,34,70,138,8,5,83,41,61.11
58,94,93,100,83,0,14,85,41,70.52
61,76,75,43,129,19,1,42,78,61.91
82,41,69,49,173,5,2,37,75,57.61
65,42,95,66,128,5,1,45,73,63.38
65,69,72,51,99,7,12,49,49,57.7
56,84,45,75,141,10,6,89,64,66.13
98,85,77,56,132,8,2,60,56,74.47
81,86,37,49,132,11,0,26,83,64.57
81,58,48,40,177,17,6,67,53,56.42
98,49,79,39,111,19,14,93,22,64.35
76,69,69,85,102,7,10,73,27,65.79
68,85,89,39,118,16,3,22,55,60.46
76,55,33,93,117,1,14,20,65,61.39
71,91,98,93,89,7,15,33,63,70.14
87,89,91,46,144,9,8,64,72,72.87
95,38,51,42,168,15,1,85,59,60.98
56,44,44,92,118,12,0,41,28,54.14
79,49,92,73,117,18,11,80,67,69.89
57,45,84,68,147,7,12,90,25,58.95
58,89,43,83,83,6,7,34,96,62.58
71,88,92,67,171,20,13,76,47,67.54
42,51,67,91,136,5,13,41,29,54.49
42,88,78,88,110,4,13,61,60,64.42
70,51,33,42,124,9,1,58,39,53.56
91,83,65,30,94,12,0,33,77,63.24
47,52,75,37,138,14,10,22,58,49.18
76,57,90,45,81,17,14,26,49,55.11
78,42,42,72,164,20,15,64,100,62.9
79,44,81,82,166,19,13,42,76,64.12
91,38,83,30,123,2,10,89,28,61.99
71,44,41,86,87,7,10,71,31,56.84
40,71,91,40,122,16,0,41,59,54.47
62,85,35,79,116,12,15,63,91,66.94
80,78,40,78,100,18,1,72,47,65.74
98,46,35,48,135,5,11,75,57,64.43
94,66,97,78,122,3,9,22,71,73.03
97,61,89,87,178,13,7,65,47,71.22
40,71,77,69,176,11,7,97,99,63.23
89,33,67,56,88,14,15,65,95,63.38
70,43,54,63,146,9,8,35,39,54.17
79,39,96,53,84,2,9,36,99,61.81
88,44,64,82,123,14,1,96,69,72.66
59,41,33,77,134,15,0,98,85,63.2
69,32,50,78,165,20,13,47,34,52.49
97,81,75,54,100,4,5,56,87,73.08
66,47,50,52,143,2,7,19,71,53.85
88,90,93,34,132,4,7,68,88,75.04
48,88,31,94,139,18,13,20,95,62.2
78,92,93,90,133,8,6,67,75,79.64
86,63,60,81,168,11,0,64,41,65.47
79,30,94,92,133,9,4,88,100,75.6
61,67,37,91,126,16,0,99,32,64.87
56,67,74,35,114,13,13,81,80,60.55
54,83,56,42,110,20,7,44,79,57.41
45,98,87,78,102,1,9,56,24,61.34
65,49,35,99,138,17,1,13,36,55.52
96,43,42,36,123,14,2,72,54,61.49
56,64,48,49,179,2,15,57,63,52.49
79,53,90,46,150,10,1,74,51,63.78
75,42,99,87,93,4,15,88,87,71.38
79,88,45,91,83,12,9,37,85,68.06
70,32,37,53,94,10,14,82,64,54.37
41,37,100,86,159,2,13,83,37,57.48
89,98,68,89,177,10,13,54,42,71.44
44,35,85,33,172,5,15,27,34,41.15
79,35,92,96,90,10,0,13,82,63.8
43,70,34,61,165,5,2,31,84,51.61
59,51,40,32,88,11,6,23,37,42.55
88,52,76,98,126,19,15,96,49,75.33
64,57,54,87,173,8,8,87,67,63.7
73,39,40,50,165,12,6,90,83,58.92
41,71,83,45,97,2,4,68,35,52.81
45,86,76,77,121,11,11,86,23,62.75
78,31,88,56,106,14,14,81,26,58.95
86,75,92,41,92,10,0,72,100,71.2
95,65,37,98,169,15,3,37,66,67.79
51,59,52,45,93,9,6,61,56,51.16
68,96,44,76,125,19,2,86,40,68.69
76,56,84,58,99,5,14,45,21,57.57
61,45,47,98,133,3,13,54,38,59.95
62,63,42,72,141,3,5,61,71,61.86
86,65,48,67,149,19,14,88,76,69.75
59,38,61,33,129,17,4,29,94,53.11
76,51,87,97,172,11,1,86,61,70.05
48,36,97,48,173,2,8,94,80,57.18
70,82,61,95,138,19,9,11,85,68.2
99,46,45,45,125,6,4,40,20,58.14
50,33,100,55,129,11,14,90,94,63.39
67,94,76,82,150,1,9,33,23,64.14
83,48,55,69,129,10,10,76,31,63.9
42,56,83,95,128,15,1,69,73,64.98
69,67,57,54,175,9,11,51,59,57.11
72,71,76,66,159,12,5,66,46,63.99
80,63,61,95,91,7,8,85,92,73.23
49,77,49,68,139,1,0,60,55,59.47
63,56,31,60,136,13,1,38,34,52.44
51,57,53,50,89,13,13,27,33,45.35
73,87,51,99,115,12,3,31,97,72.13
55,90,85,62,124,3,3,27,57,62.7
42,52,45,88,148,3,4,87,97,62.43
45,41,45,43,140,6,13,41,34,44.41
83,46,70,83,123,1,4,36,97,69.59
54,72,60,46,171,18,13,63,81,56.7
62,61,69,42,163,2,4,82,48,57.41
45,54,51,95,124,4,11,100,91,66.86
94,30,73,68,133,10,12,63,35,64.46
