skill,questions
Android,"What is the difference between a Fragment and an Activity in Android, and when would you use each?|How do you handle configuration changes, such as screen rotation, in an Android application?|What is the purpose of the AndroidManifest.xml file, and what types of information does it contain?|How do you implement a RecyclerView with a custom adapter, and what are the benefits of using a RecyclerView over a ListView?|What is the difference between a Service and an IntentService in Android, and how do you choose which one to use for a given task?"
Azure,"What are the key differences between Azure Active Directory (AAD) and Azure Subscription, and how do they relate to each other in terms of access and permissions?|How would you design a scalable and secure architecture for a web application hosted on Azure, including the use of Azure services such as Storage, Databases, and Networking?|What is Azure Resource Manager (ARM), and how does it help with infrastructure provisioning and management in Azure, including advantages over traditional scripting methods?|How do you troubleshoot and optimize the performance of an Azure Virtual Machine (VM), including monitoring metrics, identifying bottlenecks, and applying appropriate fixes?|What are the main benefits and trade-offs of using Azure Kubernetes Service (AKS) versus Azure App Service for deploying and managing containerized applications in Azure?"
CI/CD,"What are the key differences between Continuous Integration and Continuous Deployment, and how do you decide which approach to use in a given project?|How do you handle deployment rollbacks in a CI/CD pipeline, and what strategies can you use to minimize downtime during the rollback process?|What are some common security considerations when designing a CI/CD pipeline, and how do you ensure that sensitive data such as credentials and API keys are properly secured?|How do you implement automated testing in a CI/CD pipeline, including unit tests, integration tests, and end-to-end tests, and what are some best practices for writing effective tests?|What are some common metrics and KPIs used to measure the effectiveness of a CI/CD pipeline, and how do you use data and analytics to optimize the pipeline and improve delivery speed and quality?"
React,"What is the difference between a controlled component and an uncontrolled component in React, and when would you use each?|How do you handle state management in a complex React application, and what libraries or tools do you use to manage state?|What is a Higher-Order Component (HOC) in React, and how would you use it to reuse code and simplify your component tree?|How do you optimize the performance of a React application, and what techniques do you use to reduce the number of unnecessary re-renders?|What is the purpose of the `useCallback` hook in React, and how does it differ from the `useMemo` hook in terms of its use case and implementation?"
TypeScript,"What is the difference between the '==' and '===' operators in TypeScript, and how do you decide which one to use?|How do you handle errors and exceptions in TypeScript, and what is the difference between try-catch blocks and error types?|What is the purpose of the 'interface' keyword in TypeScript, and how does it differ from a class or type alias?|How do you implement inheritance in TypeScript, and what are the differences between interfaces, abstract classes, and concrete classes?|What is the difference between 'let' and 'const' in TypeScript, and how do you decide which keyword to use when declaring variables?"
MySQL,"What is the difference between MyISAM and InnoDB storage engines in MySQL, and when would you use each?|How do you optimize the performance of a slow-running MySQL query, and what tools would you use to identify the bottleneck?|What is the purpose of indexing in MySQL, and how do you determine which columns to index in a given table?|How do you handle database transactions in MySQL, including commit, rollback, and savepoint operations?|What is the difference between a LEFT JOIN and an INNER JOIN in MySQL, and how do you decide which type of join to use in a given query?"
PostgreSQL,"What is the difference between PostgreSQL's SERIAL and BIGSERIAL data types, and when would you use each?|How do you optimize the performance of a slow-running query in PostgreSQL, and what tools or techniques would you use to identify the bottleneck?|What are the advantages and disadvantages of using PostgreSQL's built-in partitioning feature, and how would you decide whether to use it for a given table?|How do you implement row-level security in PostgreSQL, and what are some common use cases for this feature?|What is the purpose of the VACUUM command in PostgreSQL, and how does it impact database performance and storage usage?"
MongoDB,"What is the difference between a MongoDB collection and a database, and how do you decide when to create a new collection versus a new database?|How do you optimize the performance of a MongoDB query, and what indexes would you create to improve query performance?|What is the purpose of the MongoDB Oplog, and how does it contribute to data replication and recovery in a MongoDB replica set?|How do you handle data inconsistencies and conflicts in a MongoDB replica set, and what strategies can you use to resolve them?|What is the difference between MongoDB's $lookup and $mergeObjects aggregation operators, and how would you use them to perform complex data transformations and joins?"
Node.js,"What is the difference between callback hell and promise chaining in Node.js, and how would you handle asynchronous operations in a large-scale application?|How does Node.js handle memory management, and what techniques can you use to optimize memory usage in a Node.js application?|What is the purpose of the 'req' and 'res' objects in an Express.js route handler, and how do you use them to handle HTTP requests and send responses?|How do you implement authentication and authorization in a Node.js application using Passport.js, and what are some common strategies for securing user data?|What is the difference between a Child Process and a Cluster in Node.js, and how would you use them to scale a Node.js application to handle high traffic or computationally intensive tasks?"
GCP,"What is the difference between Google Cloud Storage and Google Cloud Datastore, and when would you use each?|How do you implement security and access control in a Google Cloud Platform project using IAM roles and service accounts?|What are the advantages and disadvantages of using Google Cloud Functions versus Google Cloud Run for serverless computing on GCP?|How would you design a scalable and fault-tolerant architecture for a web application on Google Cloud Platform using Load Balancing, Auto Scaling, and Cloud CDN?|What is the purpose of Google Cloud Stackdriver, and how would you use it to monitor, log, and troubleshoot applications deployed on Google Cloud Platform?"
FastAPI,"What are the key differences between FastAPI and Flask, and when would you choose to use each framework?|How do you handle errors and exceptions in a FastAPI application, and what are some best practices for error handling?|What is asynchronous programming in FastAPI, and how do you use it to improve the performance of your API endpoints?|How do you implement authentication and authorization in a FastAPI application using OAuth, JWT, or other authentication protocols?|What are some strategies for optimizing the performance of a FastAPI application, including caching, database indexing, and query optimization?"
Flask,"What is the difference between Flask and Flask-Restful, and when would you use each?|How do you handle errors and exceptions in a Flask application, and what are some best practices for doing so?|What is the purpose of the `app.route` decorator in Flask, and how do you use it to define routes for your application?|How do you implement authentication and authorization in a Flask application, and what are some popular libraries for doing so?|What is the difference between `request.args` and `request.form` in Flask, and how do you use each to handle different types of HTTP requests?"
React Native,"What is the difference between React Native and traditional native mobile app development, and how does React Native achieve cross-platform compatibility?|How do you handle state management in a React Native application, and what are some popular state management libraries available for React Native?|What is the purpose of the bridge in React Native, and how does it facilitate communication between JavaScript and native code?|How do you optimize the performance of a React Native application, and what are some common bottlenecks to watch out for during the development process?|What is the difference between a Controlled Component and an Uncontrolled Component in React Native, and when would you use each type of component in your application?"
