fluency,correctness,eye_contact,posture,head_stability,readiness
67.48,34.74,42.86,92.87,77.3,56.42
68.54,58.37,86.38,47.36,64.09,68.95
97.23,31.94,93.73,73.79,58.61,64.5
87.14,77.46,79.04,99.18,57.46,78.05
86.05,99.74,78.2,65.64,56.28,87.35
93.09,62.55,94.65,40.79,90.32,70.34
90.64,97.17,60.38,38.73,77.0,76.06
45.69,78.91,94.21,71.0,66.77,72.95
94.65,64.18,70.61,75.17,65.74,75.97
70.53,65.18,64.06,69.15,93.19,65.98
93.49,60.3,50.35,84.74,87.13,77.86
56.83,81.44,61.18,79.36,71.48,71.9
88.12,55.13,68.83,99.07,84.41,74.95
82.2,47.09,78.33,50.0,74.7,60.61
75.75,90.88,86.72,54.77,49.65,77.74
74.54,91.88,90.01,70.82,51.79,76.11
86.46,34.5,82.79,64.95,96.32,67.82
73.6,38.27,62.38,80.62,76.58,61.1
50.25,95.26,67.96,39.92,55.95,71.05
63.34,67.88,78.47,76.03,68.35,67.34
82.02,43.41,66.01,86.59,94.77,71.69
50.08,64.52,68.42,98.47,97.43,73.83
43.72,63.58,82.87,63.97,84.75,63.75
85.33,98.86,96.64,96.34,89.76,91.97
95.26,83.54,40.66,74.75,50.6,72.65
87.96,89.93,94.27,37.66,57.53,83.93
98.26,34.63,80.7,70.74,59.15,61.47
74.78,35.21,87.6,97.23,69.49,68.98
57.63,82.92,71.37,90.53,96.67,78.16
86.59,65.95,69.41,54.75,53.07,73.33
88.23,61.62,40.28,61.17,87.92,71.81
70.46,83.22,43.93,51.71,98.34,73.5
78.74,96.61,92.82,88.29,83.81,87.82
65.85,39.23,48.6,98.81,86.33,64.85
94.0,82.78,92.48,59.45,83.52,79.64
43.76,33.71,87.09,36.94,94.4,53.33
97.51,43.06,95.12,90.21,91.92,77.13
48.16,41.56,58.88,68.11,99.01,60.36
97.9,61.81,46.54,89.25,80.17,72.93
51.09,85.31,53.47,68.48,54.02,66.85
71.95,54.41,47.01,56.32,80.8,56.92
93.4,94.04,45.97,95.58,56.34,86.81
99.3,84.47,64.56,82.7,46.72,76.27
65.35,32.33,50.98,73.6,74.83,55.54
41.79,74.85,71.5,41.84,78.7,61.44
82.58,33.85,82.83,76.39,67.44,59.71
46.91,40.32,94.34,46.13,85.83,59.05
44.45,64.28,59.16,45.26,54.14,55.14
98.05,57.04,43.63,64.92,86.87,71.17
98.95,57.23,83.35,49.23,86.81,75.36
71.86,50.88,84.61,61.04,76.82,70.21
42.91,45.63,61.93,58.22,73.15,56.37
51.93,42.72,49.82,55.08,56.13,44.82
59.55,41.03,64.08,51.62,62.82,55.31
88.21,55.23,77.23,94.17,49.49,69.63
43.02,58.78,98.96,79.13,47.47,60.21
83.39,77.41,53.6,70.69,99.84,77.71
57.95,92.31,80.69,41.58,59.98,70.98
51.12,83.83,47.16,77.03,87.65,74.04
48.71,56.01,71.7,90.75,45.73,59.08
80.73,96.35,56.74,56.16,85.14,77.59
97.02,90.25,68.29,48.54,74.71,84.26
46.19,65.62,94.71,45.44,97.86,63.07
95.41,52.01,46.35,93.76,58.59,73.81
92.15,95.01,55.9,44.04,73.76,78.66
97.39,92.49,67.5,60.48,45.54,84.46
55.17,40.4,85.92,44.15,68.2,58.49
55.36,31.62,53.76,68.92,76.77,46.9
95.31,57.48,42.42,43.01,85.21,64.33
73.85,50.57,47.29,36.29,57.92,50.45
79.54,32.99,54.32,50.32,52.29,53.46
47.67,87.37,44.23,83.75,91.33,69.0
69.68,56.04,66.81,83.6,84.87,72.12
90.37,43.13,95.21,89.88,57.07,70.94
52.31,67.57,51.14,72.84,81.58,61.29
89.96,59.74,86.93,92.94,78.35,77.94
66.12,62.25,98.87,47.61,86.03,70.84
88.42,99.09,56.25,57.9,80.82,84.23
80.77,90.68,89.9,95.02,69.88,83.54
61.26,38.2,40.25,74.76,78.48,53.45
52.64,89.99,90.44,46.79,67.83,67.27
71.78,98.97,63.09,35.95,74.24,74.31
58.34,43.32,68.99,82.82,60.04,56.74
75.38,66.45,91.87,76.99,68.17,73.12
69.27,41.66,42.14,57.05,52.26,55.88
43.08,98.92,40.42,80.88,50.51,64.15
87.23,58.55,75.01,93.15,85.75,73.31
54.21,44.65,62.57,85.16,46.81,58.59
65.2,54.03,82.93,43.54,76.35,66.32
77.25,69.18,52.04,61.26,67.02,62.8
47.34,90.19,89.37,69.57,65.15,71.19
62.86,89.05,54.25,86.63,46.46,72.14
62.52,41.71,60.24,43.46,98.67,58.66
45.19,93.96,44.61,75.44,67.91,67.25
75.44,92.52,48.76,89.81,95.09,82.1
41.4,66.0,44.78,63.84,66.1,57.39
53.42,88.15,56.87,41.51,49.32,60.22
95.76,74.37,81.7,80.59,94.11,88.69
93.83,63.84,44.61,69.89,73.89,70.18
65.01,43.43,79.37,55.39,98.43,57.13
81.41,30.57,54.22,74.08,86.64,57.09
72.04,95.86,95.84,79.37,91.8,87.22
54.55,80.01,73.45,44.39,65.21,63.23
66.61,45.51,75.28,50.71,91.56,58.84
69.76,85.73,63.26,75.64,85.06,80.64
54.86,53.25,75.58,63.54,48.15,53.3
58.57,45.82,46.55,50.89,88.04,51.3
46.89,81.07,60.29,86.42,75.62,68.44
79.96,34.36,93.93,90.77,65.36,61.28
58.06,46.07,83.43,41.27,93.36,60.33
56.94,90.48,85.79,64.02,78.55,77.92
51.95,70.05,91.57,61.16,57.78,65.17
52.78,44.51,76.21,76.18,95.88,62.27
40.22,34.4,57.36,36.13,99.61,43.3
99.11,94.26,97.9,96.2,47.61,93.71
52.78,35.76,65.69,84.45,71.63,57.09
87.61,98.84,71.09,43.27,61.75,81.09
61.13,61.9,47.96,96.76,57.62,65.6
82.68,51.51,75.46,90.26,50.36,65.91
91.42,85.53,50.49,71.95,85.77,80.03
71.11,41.84,96.36,41.43,92.63,66.55
40.68,45.8,85.68,47.58,73.16,50.43
99.75,82.52,46.45,43.95,96.67,73.0
89.44,68.6,69.33,76.52,87.09,72.29
63.32,76.78,42.81,51.17,97.13,63.7
73.81,42.21,71.93,64.93,62.97,62.04
75.19,73.27,89.36,93.77,97.37,80.92
55.45,41.64,94.58,72.89,62.43,59.78
96.05,36.86,47.55,39.65,93.83,57.55
92.13,94.11,66.15,64.4,87.34,79.71
47.92,74.69,71.52,36.67,47.49,56.7
91.27,63.32,77.83,91.61,69.16,75.02
47.22,70.01,61.87,74.45,91.99,66.39
41.06,44.38,44.51,42.32,79.44,49.65
47.28,35.74,42.56,96.95,76.93,52.98
75.16,30.22,60.34,73.62,53.9,55.5
83.42,68.53,86.57,53.55,93.14,75.93
88.45,81.29,53.46,79.64,84.42,83.43
52.59,78.41,62.97,36.72,45.45,62.56
62.34,92.81,73.66,67.77,52.52,75.26
79.85,43.0,73.73,84.26,55.83,69.26
43.92,80.41,41.98,97.1,67.31,66.4
55.87,45.16,48.85,57.67,85.13,53.88
62.66,37.98,52.79,90.47,73.94,61.65
93.39,67.33,51.96,98.42,84.54,74.1
55.48,98.48,71.42,36.65,84.63,69.22
99.75,93.91,53.08,81.45,95.69,87.09
86.23,88.34,84.06,75.57,53.03,84.68
81.45,92.72,68.41,78.94,87.13,85.19
87.94,61.52,46.45,85.74,63.83,68.06
69.15,31.59,93.04,97.95,57.57,58.05
71.18,65.63,77.2,67.91,76.73,67.31
68.02,89.16,59.36,56.54,82.25,70.91
69.49,48.83,72.94,64.26,87.4,63.56
71.73,45.46,73.15,65.19,45.71,54.78
47.01,51.06,72.98,86.03,53.82,55.82
48.59,74.94,84.93,90.61,84.65,68.3
44.51,91.33,42.31,42.6,64.63,66.42
97.33,89.35,67.8,90.62,96.59,89.05
42.1,54.52,99.24,71.59,92.64,65.84
66.29,39.34,43.41,68.41,72.69,53.78
82.2,80.28,47.12,56.78,84.26,71.59
76.55,68.83,62.99,62.39,81.08,70.05
92.96,79.53,93.37,52.51,49.94,73.52
43.1,90.07,84.27,36.42,91.36,67.14
67.05,96.12,47.77,95.98,79.96,75.82
85.27,59.42,98.17,53.17,88.26,76.52
42.48,85.71,87.0,56.35,89.13,72.35
45.0,61.5,68.49,91.92,93.76,70.44
70.9,70.9,97.77,88.54,49.15,78.01
74.87,60.01,87.21,41.74,62.81,69.53
58.09,88.14,86.09,90.18,83.28,80.63
94.24,42.76,48.93,93.89,54.39,65.61
65.62,95.21,72.66,75.61,50.09,72.24
51.57,83.68,61.78,58.51,69.59,64.55
79.61,83.1,69.78,94.48,77.25,80.06
80.25,89.51,65.59,66.73,73.59,81.06
89.43,59.5,57.44,70.73,52.4,68.49
97.83,88.19,97.79,38.62,47.32,84.64
53.31,86.46,44.28,91.47,57.59,65.78
66.1,91.55,89.82,51.58,85.77,80.26
58.02,57.19,99.52,38.3,58.01,61.89
80.03,64.0,88.62,53.26,79.94,75.33
94.9,73.7,95.22,94.06,65.24,85.04
69.97,85.67,85.6,56.0,53.04,71.2
89.45,85.48,72.47,45.07,63.0,80.7
68.9,92.85,55.91,63.28,54.61,76.25
91.84,84.17,51.93,70.86,52.81,73.8
62.95,30.99,57.15,91.53,54.6,50.26
75.75,48.19,81.32,81.47,67.16,70.29
91.05,43.0,51.79,85.66,62.81,65.8
79.0,44.13,67.45,91.66,67.04,62.29
74.63,78.15,67.61,38.23,76.06,72.16
63.26,65.3,52.36,70.88,92.82,62.1
85.6,81.75,81.36,88.24,96.78,88.61
91.73,41.32,43.18,44.53,81.59,56.24
58.33,54.62,97.02,40.37,47.62,58.06
49.69,82.11,96.48,93.25,92.95,82.27
79.17,51.29,75.11,68.86,82.42,64.85
42.63,73.06,97.19,60.69,70.82,62.77
53.15,44.18,84.97,51.79,94.12,58.94
56.52,76.55,82.82,87.85,79.26,77.34
41.53,51.89,60.93,43.7,78.93,50.31
70.63,32.92,58.68,48.74,96.2,56.11
64.45,98.3,51.45,90.82,63.5,78.64
57.86,69.72,76.76,58.15,73.26,65.69
93.82,51.22,43.77,65.65,54.11,59.23
45.8,58.45,88.62,97.72,78.06,72.41
80.5,44.5,78.56,99.95,57.42,66.82
62.63,74.54,51.47,98.55,64.3,69.01
58.66,80.83,80.74,41.5,90.29,71.86
80.03,69.1,40.92,80.48,98.95,73.83
97.31,30.9,92.31,95.53,55.18,71.23
72.02,53.11,85.11,87.17,87.1,71.97
77.13,59.38,74.09,35.82,77.89,65.57
48.34,54.68,47.12,44.03,86.3,50.57
54.96,85.61,89.23,66.48,46.55,70.92
71.51,32.8,48.81,96.11,73.87,61.55
77.14,80.32,92.55,37.24,95.95,75.12
50.95,78.8,44.67,36.0,49.55,55.62
94.53,90.66,57.3,88.18,92.14,83.51
72.01,78.14,41.55,66.62,99.75,75.29
75.34,53.55,74.09,95.43,47.19,64.82
78.6,91.24,91.99,43.01,71.19,74.87
88.33,38.2,85.29,78.61,71.96,68.6
63.23,35.65,97.6,53.88,54.02,59.5
92.12,84.13,44.22,98.74,71.74,82.47
61.7,74.77,69.8,48.12,68.39,62.6
66.29,64.85,67.12,53.44,69.93,64.34
80.73,57.07,71.39,80.12,47.58,64.81
63.75,81.92,93.55,59.81,75.34,76.67
81.54,65.58,85.47,86.12,73.76,78.44
64.91,68.1,68.17,87.96,69.55,68.67
50.68,79.16,45.84,63.52,98.6,65.39
47.06,41.06,40.57,82.89,49.74,46.16
53.94,41.3,47.56,92.01,45.67,57.29
79.46,94.12,96.98,92.57,78.91,89.16
69.16,38.18,64.45,70.35,69.46,62.18
63.26,92.28,84.19,72.34,66.86,75.61
73.21,69.97,79.92,81.56,57.87,72.38
45.62,51.78,54.29,58.31,77.38,57.82
66.01,39.97,87.52,82.76,93.7,66.56
97.78,63.76,85.59,93.35,88.94,83.31
65.06,82.12,64.25,46.62,85.97,73.5
54.83,45.83,60.7,55.35,95.35,60.68
91.08,71.12,84.01,65.98,85.92,77.54
58.77,86.0,73.0,92.45,51.18,73.1
94.54,49.42,93.78,36.34,91.65,72.68
62.76,63.39,70.72,82.47,86.9,67.28
93.99,82.28,96.42,65.67,74.88,88.76
83.61,81.11,53.99,95.45,91.32,85.71
46.88,53.66,66.38,55.18,48.4,53.59
99.17,75.27,65.62,37.79,76.77,71.45
76.12,68.84,61.39,69.79,66.55,66.36
63.0,75.92,98.69,79.36,45.67,77.78
43.57,93.18,83.86,86.71,99.94,83.19
41.11,43.39,83.31,67.92,57.8,58.34
75.53,80.77,65.56,67.76,70.2,73.77
79.94,86.68,76.08,60.09,66.92,77.65
78.6,70.19,67.88,99.44,71.18,74.32
58.38,70.99,98.77,78.96,98.39,75.81
67.59,49.56,57.67,99.03,87.88,68.33
95.05,91.81,83.38,61.7,83.95,85.29
53.44,33.04,81.77,81.48,71.4,59.07
84.0,91.71,51.3,63.92,78.38,82.0
47.78,50.93,60.11,95.85,83.75,58.61
60.52,73.4,65.22,79.12,94.3,73.72
74.85,55.68,41.05,77.24,75.38,62.48
49.25,80.45,99.47,93.72,58.72,77.08
95.88,56.01,49.27,61.03,49.39,69.79
85.61,33.37,91.9,86.19,51.18,64.86
68.32,76.76,45.25,80.43,64.63,74.19
54.04,99.19,88.17,98.8,46.29,81.58
72.39,77.58,64.89,36.37,51.92,62.34
64.18,43.39,60.62,37.13,45.13,45.81
98.37,47.01,70.18,89.69,56.53,73.06
47.88,69.37,52.85,60.76,80.2,60.32
84.98,90.05,65.87,70.68,53.79,83.33
71.37,60.76,40.32,40.31,79.0,59.97
95.21,33.37,92.1,65.09,81.54,70.35
55.44,86.4,47.1,41.8,88.85,67.11
70.72,80.17,81.65,44.49,87.81,77.76
74.35,34.75,64.48,72.63,78.92,63.88
68.49,99.43,93.54,95.81,48.99,83.69
55.24,98.39,98.58,84.21,79.47,83.44
55.23,81.7,93.68,49.34,52.73,72.69
82.59,47.96,56.74,43.44,49.16,54.49
61.44,89.25,94.7,93.85,61.69,81.52
42.79,88.35,66.54,61.59,95.28,67.0
49.54,94.52,62.34,58.51,62.83,74.59
55.43,80.82,42.0,36.35,71.14,58.26
94.41,82.61,82.59,41.83,51.09,73.72
99.22,92.09,77.77,53.85,76.4,89.06
43.65,37.69,52.7,69.01,58.16,49.5
76.62,37.74,41.85,64.08,47.86,57.72
75.85,69.42,87.48,40.17,79.29,74.25
52.22,91.79,88.52,81.93,71.43,81.31
71.89,82.57,56.57,88.49,70.78,79.48
99.77,34.88,80.52,81.62,45.96,62.21
65.29,98.99,93.82,72.91,45.04,83.79
41.92,85.76,42.53,55.73,71.43,60.28
93.36,62.9,62.1,84.11,66.59,75.94
90.33,95.05,80.72,91.22,75.7,86.18
52.55,55.2,54.73,94.75,84.27,58.78
78.2,72.19,62.22,81.74,93.59,74.92
56.33,88.11,79.05,67.28,90.67,74.58
64.72,30.16,44.68,57.51,94.73,51.4
51.59,45.17,99.86,62.88,61.9,59.9
46.74,39.99,48.83,72.02,91.96,56.9
64.19,49.5,89.89,36.85,96.01,65.11
60.63,63.54,69.93,90.21,80.89,69.79
89.78,60.1,54.95,83.4,78.97,68.47
44.03,66.41,48.57,90.44,67.15,58.05
95.06,58.69,41.41,89.66,57.73,69.17
74.5,60.59,71.28,83.0,96.08,70.9
62.59,31.12,73.22,76.91,97.26,57.63
55.85,33.73,78.7,61.05,85.3,57.63
69.56,61.3,50.6,80.34,68.74,69.78
55.47,87.65,40.87,80.04,46.86,69.96
49.37,45.27,70.3,49.22,52.35,48.75
50.27,94.62,83.05,99.38,81.91,77.13
66.33,59.39,77.32,93.41,79.32,74.2
72.57,82.56,49.87,40.11,98.18,70.07
64.73,39.81,72.8,51.65,79.44,52.07
53.96,94.31,50.67,99.65,56.78,77.0
68.37,100.0,45.44,58.8,60.73,75.87
91.49,72.24,84.66,81.26,67.4,83.53
83.2,62.15,46.26,50.26,53.24,65.86
86.8,83.58,55.63,92.59,87.97,82.89
59.91,40.13,70.32,63.5,95.92,57.78
54.27,51.19,44.21,55.5,93.87,57.43
63.73,32.1,92.6,91.81,81.62,63.83
85.85,39.8,53.35,75.66,85.67,66.61
44.65,95.51,57.54,67.45,79.97,70.08
57.33,84.14,96.13,79.63,50.86,77.87
58.1,80.73,84.32,48.46,80.21,70.41
73.67,91.37,94.97,66.29,54.6,81.26
50.45,66.1,76.49,62.76,63.36,58.03
76.15,36.85,62.87,97.84,65.38,63.79
57.47,56.17,69.81,51.49,85.92,57.89
98.91,91.05,44.22,79.89,88.47,83.91
55.9,80.31,76.85,39.79,62.24,65.86
87.17,55.62,75.4,77.2,58.32,71.11
57.89,42.57,90.05,51.24,87.74,58.19
58.34,97.4,55.75,70.05,71.75,71.46
73.07,89.08,72.05,75.82,47.87,76.33
58.29,31.07,68.48,49.76,93.75,50.22
95.29,41.26,93.26,45.33,73.42,63.84
59.93,73.16,57.86,78.34,93.74,73.99
97.54,55.34,55.32,64.46,76.16,72.11
65.36,52.76,49.38,65.61,73.39,59.79
46.87,36.19,57.6,62.2,68.47,44.51
87.7,58.33,93.19,37.37,60.81,65.06
58.85,85.71,73.2,36.11,47.85,68.48
73.16,36.47,97.08,77.15,69.84,65.54
62.95,48.59,92.78,46.18,74.89,64.4
47.71,90.26,91.82,77.01,75.52,76.63
45.07,87.22,41.84,59.3,80.17,62.06
55.16,57.71,53.2,83.08,94.54,64.53
85.63,81.17,86.95,49.55,84.18,82.12
54.17,96.03,72.38,57.93,97.79,76.28
50.18,46.55,57.32,75.68,78.23,52.01
57.72,57.65,82.1,69.81,85.47,64.22
54.79,31.38,48.64,80.06,97.14,53.36
82.52,61.35,80.25,72.59,55.17,67.93
66.28,64.82,43.4,38.28,80.8,56.29
57.53,35.15,71.28,67.79,60.71,55.3
65.19,30.56,84.88,98.97,69.51,63.56
95.99,97.68,52.19,87.84,51.57,83.94
81.41,65.87,82.56,96.82,52.47,72.47
66.14,73.24,70.9,58.45,84.68,65.67
85.68,41.5,41.91,41.73,81.33,57.63
87.78,89.6,71.07,46.96,52.35,73.29
92.28,52.75,78.01,90.43,63.94,72.91
43.68,55.02,75.55,52.6,58.47,54.91
49.53,65.81,62.1,39.54,66.91,60.69
58.74,59.47,48.86,96.1,81.29,62.76
68.03,48.91,90.33,61.6,65.69,65.27
56.12,58.42,74.72,87.58,79.39,68.24
60.8,33.58,50.08,95.31,69.51,51.05
64.66,40.14,55.95,73.7,64.08,60.47
86.45,97.4,91.58,89.14,92.57,92.99
86.96,49.8,85.7,48.77,52.59,65.45
49.85,64.31,55.2,79.47,54.96,57.14
99.73,45.35,58.99,97.34,93.12,72.38
89.6,62.98,72.91,38.99,93.69,72.74
95.69,85.37,75.45,65.4,87.18,83.59
42.62,91.01,85.67,36.69,49.79,68.48
82.51,70.27,57.18,66.36,79.56,74.38
57.01,98.48,54.19,65.69,74.06,77.23
54.16,56.11,51.45,76.68,97.8,62.13
58.78,58.71,54.85,58.72,75.64,56.97
56.13,76.02,54.21,97.49,57.28,68.88
95.28,33.35,66.57,77.91,68.97,67.02
63.87,81.85,87.71,35.1,85.36,70.58
47.77,85.26,77.46,81.37,84.94,69.79
40.19,66.4,66.04,87.23,65.03,59.46
60.84,66.06,92.52,61.19,57.6,70.09
44.74,51.98,81.07,52.89,55.89,55.21
62.75,55.3,69.72,64.63,74.55,57.93
75.37,84.98,83.72,67.03,47.69,72.93
90.85,41.43,79.79,61.58,47.53,63.74
98.62,80.16,86.48,82.76,84.02,84.61
70.63,61.01,67.56,83.88,53.81,65.28
80.18,82.67,86.76,70.54,51.8,72.8
93.44,60.51,93.71,47.9,77.06,73.02
78.55,50.76,70.29,86.84,67.22,72.17
63.71,66.35,56.51,40.86,63.92,59.82
86.52,85.55,84.12,60.79,80.83,77.08
81.41,41.62,70.69,77.84,70.89,66.22
52.92,88.01,43.1,74.51,56.21,69.45
71.79,82.66,96.27,48.23,99.96,75.11
73.71,77.31,59.19,50.88,73.85,71.87
42.14,43.06,43.62,79.02,96.01,49.28
66.29,40.45,77.86,83.42,52.02,55.61
71.94,77.05,50.6,88.21,73.39,69.3
67.14,62.7,46.81,84.54,71.33,65.2
80.06,94.99,50.03,62.48,48.99,72.89
45.76,68.62,70.94,50.73,95.62,62.67
72.26,83.87,52.63,63.34,45.73,71.49
58.08,39.16,77.65,74.01,97.57,64.06
92.55,84.05,54.27,37.07,63.24,73.98
68.31,58.11,92.82,90.41,93.81,78.89
84.62,58.88,48.87,42.67,76.62,66.86
77.83,88.01,57.93,43.89,84.38,74.68
90.16,74.02,58.77,42.1,58.58,70.56
67.6,93.27,44.3,40.03,94.56,68.57
93.8,89.3,64.2,53.38,76.23,83.93
71.63,63.38,84.98,54.24,61.17,70.1
50.9,72.61,88.89,90.9,94.03,79.35
63.23,97.83,80.01,49.94,90.63,76.38
97.61,58.08,45.66,51.6,81.66,65.96
55.92,87.79,80.61,50.17,74.83,70.61
87.76,30.27,79.27,35.46,94.96,62.11
78.58,82.43,91.96,66.15,88.33,84.81
43.03,62.01,52.03,45.62,56.07,55.09
74.6,78.83,59.67,72.75,64.77,72.61
86.04,46.07,67.31,45.72,57.46,59.23
62.09,64.92,88.56,87.86,84.73,73.67
99.73,75.36,81.74,56.52,75.45,75.85
55.12,68.51,61.4,89.03,98.15,71.68
62.14,65.77,66.09,59.97,96.94,71.31
90.62,35.15,66.35,39.01,65.07,55.95
70.07,65.94,89.96,60.3,83.14,71.79
55.06,40.38,65.55,74.13,68.56,53.32
62.64,78.58,49.36,69.77,53.67,64.79
93.96,62.59,82.43,65.95,92.6,73.81
66.22,84.58,49.56,74.85,94.38,72.27
90.87,88.25,44.44,96.72,97.5,85.34
77.19,47.57,64.95,73.07,62.09,57.91
52.13,98.32,67.23,56.6,56.91,72.58
98.74,92.66,61.6,94.77,87.94,87.82
77.27,47.43,71.57,50.32,77.05,64.15
66.36,85.51,77.1,63.17,64.6,77.94
80.17,76.57,96.01,68.11,93.74,82.83
65.61,52.41,54.15,65.98,88.29,57.33
77.18,45.5,74.28,93.24,97.4,68.29
56.54,72.27,44.81,75.01,48.28,60.79
43.09,63.48,89.52,47.49,96.36,65.96
49.12,66.69,56.32,60.17,72.72,61.78
43.01,69.65,94.67,50.75,73.99,67.44
86.36,37.86,95.71,82.26,80.86,64.93
96.27,75.9,55.61,51.58,93.78,75.63
79.26,83.38,52.2,63.01,72.25,77.38
88.21,94.41,65.21,66.05,65.75,78.73
54.66,66.85,48.06,62.99,64.68,60.59
89.47,70.31,89.42,36.76,72.53,77.24
50.04,46.91,71.77,40.75,77.11,53.8
68.3,80.0,81.28,48.38,67.14,66.78
86.39,94.5,81.45,36.42,93.29,80.31
