fluency,correctness,eye_contact,posture,head_stability,readiness_score
84,90,44,53,44,69.45
44,40,61,62,49,48.6
84,73,78,50,90,75.05
66,62,50,80,70,64.9
55,50,55,47,48,51.0
91,45,78,98,75,71.6
82,96,55,76,71,80.3
88,45,51,68,75,62.45
96,53,72,63,81,70.15
46,47,85,68,86,61.5
44,89,52,100,74,73.85
48,73,63,90,51,65.75
59,58,60,77,72,63.45
100,43,83,72,49,65.65
87,100,51,86,57,81.5
87,54,68,83,57,67.5
98,52,87,75,56,70.5
85,46,61,74,89,66.7
53,45,94,40,62,55.75
99,78,69,58,82,78.45
54,46,89,76,41,57.8
81,84,49,57,64,71.1
61,81,60,98,50,71.75
41,100,99,96,50,79.95
75,78,78,40,76,71.4
92,82,90,52,81,80.55
46,42,59,80,60,53.75
48,94,47,70,41,66.2
96,100,47,62,71,81.2
80,43,93,72,89,69.15
68,100,95,64,97,87.0
77,47,46,60,97,62.3
57,82,44,41,59,61.7
60,99,93,98,82,87.6
77,72,78,93,66,76.15
77,94,72,66,61,78.15
63,78,62,44,72,66.6
58,98,84,88,89,85.05
48,41,74,73,66,55.9
52,79,69,76,45,66.55
45,47,89,44,86,58.3
100,41,47,51,69,59.4
65,60,94,71,77,70.3
50,95,65,74,96,78.5
66,40,57,54,74,54.95
73,83,88,44,44,70.05
63,66,78,43,76,65.25
62,93,84,95,48,79.0
94,92,81,48,76,81.75
40,91,49,87,40,66.25
95,96,85,63,86,87.7
99,93,48,42,60,74.85
81,42,67,59,59,58.65
62,53,94,69,40,61.4
77,53,79,97,51,68.0
100,46,47,58,88,65.05
65,67,81,75,93,73.8
43,57,74,47,53,54.65
86,63,88,47,84,72.1
97,44,86,82,47,67.05
60,93,63,97,93,82.5
53,82,92,59,60,70.95
51,78,100,80,45,71.25
100,88,68,87,75,85.3
58,76,97,94,70,77.35
61,53,44,51,75,56.25
45,71,82,72,91,70.6
41,71,50,97,48,62.3
79,98,67,78,53,79.8
72,96,90,70,81,84.15
90,98,48,65,99,84.1
88,92,90,96,100,92.7
83,73,70,81,50,72.3
52,87,80,93,50,74.3
73,69,66,43,97,69.65
51,86,99,56,95,77.8
48,40,56,99,74,57.95
57,59,97,57,63,64.6
77,68,40,43,62,60.95
68,95,81,88,96,86.6
43,52,63,52,73,55.0
64,53,87,77,98,70.65
54,79,45,87,56,66.65
76,56,56,63,57,61.2
45,40,45,53,46,44.6
60,67,76,84,56,67.85
70,97,43,97,62,78.25
80,46,52,69,82,62.55
56,91,45,55,70,68.55
96,58,52,41,62,62.75
74,83,51,100,62,75.8
61,61,76,88,57,66.7
79,53,45,60,76,61.5
55,83,43,79,76,69.75
71,96,55,78,45,74.5
54,75,78,67,87,71.85
86,54,59,72,67,65.8
51,46,86,80,58,59.9
74,72,59,76,40,66.25
99,54,42,73,52,63.75
86,44,82,95,86,72.05
63,83,67,49,97,73.6
81,45,88,73,70,66.6
41,83,77,80,70,71.3
46,90,49,85,63,70.25
96,64,49,53,61,66.05
77,93,79,100,61,83.95
51,85,56,49,96,70.1
50,93,44,63,66,68.5
68,56,97,79,62,68.9
65,53,75,47,74,60.95
65,67,93,64,71,70.65
80,52,52,40,76,59.4
47,62,50,61,53,55.7
61,80,47,82,100,74.55
79,46,77,81,93,69.55
88,48,82,86,87,72.65
78,43,45,92,60,60.2
53,68,67,99,83,71.75
100,93,44,86,66,81.95
44,73,56,84,72,66.15
77,51,74,72,78,66.85
100,76,50,97,44,75.25
60,64,81,42,77,64.4
88,42,97,71,48,64.7
54,62,66,48,57,58.15
61,68,65,78,82,69.75
67,68,70,51,89,68.7
79,77,74,63,42,69.6
66,64,88,77,76,71.75
90,57,98,54,95,75.0
64,92,67,70,78,77.25
82,100,96,96,69,90.55
90,69,54,68,72,71.25
71,40,61,77,90,62.4
64,60,66,54,57,60.35
92,75,54,42,41,65.2
66,91,60,84,99,81.5
57,71,41,70,61,62.05
72,79,79,64,67,73.55
71,71,81,50,63,68.15
96,74,43,80,63,73.0
85,77,56,46,93,73.2
98,41,42,94,65,64.1
95,76,98,92,61,83.25
75,40,74,59,77,60.5
64,79,45,81,53,67.3
84,50,78,63,76,66.85
94,58,41,87,60,67.3
65,63,89,75,67,69.7
50,47,89,80,52,59.6
51,61,59,98,61,64.25
97,96,61,56,70,81.05
87,46,91,47,77,65.75
85,70,91,99,56,78.4
84,95,81,100,87,90.25
95,96,45,90,50,80.35
99,63,83,64,52,71.7
89,60,67,49,73,67.15
96,65,53,76,52,69.1
60,44,85,69,72,61.3
98,76,88,40,40,71.4
59,40,47,53,68,51.0
92,66,96,40,61,71.05
47,87,47,58,57,64.15
73,46,88,91,100,72.55
48,85,95,79,78,77.15
46,89,46,85,60,69.0
67,44,60,49,58,53.85
78,68,55,80,45,66.4
74,57,71,95,99,74.5
65,86,89,61,56,74.0
66,94,75,43,76,75.2
43,95,97,77,85,80.7
91,76,87,66,43,74.2
62,41,79,45,72,56.15
47,56,52,58,58,54.2
42,75,88,58,59,65.4
84,86,100,58,75,81.85
51,67,92,75,60,67.7
93,61,68,73,49,68.45
88,49,98,97,70,74.5
89,58,65,70,94,72.45
96,99,66,43,66,80.1
94,74,85,81,61,78.75
93,46,47,85,99,69.35
53,76,46,57,41,58.8
69,46,53,72,69,59.0
46,79,68,56,89,68.8
59,42,88,84,91,65.95
45,78,83,53,68,66.9
47,59,64,98,64,63.95
61,71,62,84,87,72.0
50,58,90,94,76,69.3
94,72,80,82,94,82.4
42,72,49,83,75,64.65
44,66,53,45,69,56.95
92,57,81,81,64,72.25
83,81,76,46,89,76.6
44,83,55,63,96,69.95
68,58,66,53,50,59.25
89,71,40,71,85,72.05
91,44,72,77,86,68.85
60,93,48,60,79,72.6
78,78,90,98,65,80.85
95,68,47,56,82,70.55
47,85,87,91,55,74.1
56,46,81,86,74,63.45
54,74,44,100,70,68.8
92,43,100,92,89,75.6
81,99,85,80,47,82.65
73,93,71,70,52,76.1
54,52,98,93,44,64.25
64,60,58,98,83,69.65
90,47,48,87,51,62.35
97,81,60,98,47,78.5
40,71,44,50,98,61.65
99,64,57,88,85,76.7
94,54,90,81,76,74.75
96,50,41,64,45,59.2
95,44,58,79,64,64.55
86,61,68,58,55,65.7
82,96,79,42,66,78.05
81,70,48,60,58,65.6
82,82,77,59,51,73.15
85,59,92,48,70,69.15
89,56,83,76,63,70.7
40,55,40,52,84,53.65
86,85,95,99,65,85.8
85,81,78,63,98,81.2
79,95,50,66,80,78.45
97,57,66,96,94,77.75
52,71,93,75,80,72.45
53,62,89,96,90,73.55
43,99,64,42,95,73.4
55,48,60,64,97,60.95
72,71,79,61,56,68.65
89,98,53,76,59,80.3
45,61,65,43,58,55.25
48,55,87,100,42,63.2
99,67,93,78,83,81.35
98,51,97,64,60,70.6
40,48,56,60,97,56.75
68,89,51,52,67,70.25
47,69,56,41,60,57.1
61,88,78,59,44,70.15
78,53,95,77,53,67.9
81,65,74,58,94,72.85
76,61,83,59,46,64.75
62,83,99,96,82,83.0
52,80,41,41,79,62.55
97,49,90,93,91,77.65
45,42,100,90,79,64.05
46,91,58,61,55,67.15
91,58,82,40,42,63.1
74,57,90,86,91,74.8
87,87,78,98,87,87.3
60,74,88,96,80,77.5
68,75,54,92,69,72.1
66,60,62,48,48,57.9
56,49,94,97,80,69.0
69,43,41,67,95,59.3
91,83,82,100,86,87.45
66,89,59,67,63,72.7
43,54,86,58,63,58.55
58,71,52,50,50,59.25
83,59,77,41,98,69.65
82,78,88,51,74,75.65
87,98,72,45,45,76.0
53,61,54,88,88,66.45
53,58,91,61,42,60.0
100,69,65,74,59,73.85
76,67,80,96,51,72.7
57,86,100,63,93,79.9
60,87,66,64,65,71.7
90,45,60,70,52,61.05
41,100,53,62,70,70.95
77,92,99,43,75,80.15
86,88,92,60,72,81.6
96,98,64,66,40,79.0
42,78,66,46,79,64.35
63,83,47,83,83,73.6
72,97,52,67,66,76.1
64,74,62,51,43,62.1
96,67,66,72,74,74.45
88,81,72,72,57,76.1
99,74,93,51,87,80.35
100,59,61,56,99,73.05
80,67,58,77,89,73.05
81,54,58,59,66,62.55
77,49,88,84,43,64.8
95,81,72,55,73,77.35
98,54,75,83,64,71.8
65,47,91,66,64,62.6
42,82,54,74,67,66.35
82,100,43,41,54,72.1
50,87,90,92,53,75.7
43,56,41,76,91,59.4
54,41,44,81,52,51.7
44,57,81,86,56,62.2
90,88,88,41,74,79.25
71,97,57,44,50,70.8
44,52,89,61,50,57.0
74,78,47,85,76,73.3
42,76,71,71,80,68.3
57,77,61,45,40,60.25
52,94,82,41,40,67.75
62,69,97,42,47,64.45
53,51,46,72,83,58.6
60,82,81,40,71,69.5
69,69,67,96,65,72.15
78,47,54,77,44,58.3
59,98,87,60,71,78.8
52,80,55,81,79,70.65
54,63,54,79,74,63.9
64,47,56,59,53,54.45
90,95,72,58,88,83.95
90,70,90,40,59,70.85
90,96,77,92,88,90.15
47,51,57,57,49,51.7
48,52,70,73,64,58.85
65,50,89,84,62,65.75
55,55,80,87,73,66.25
51,84,47,70,86,70.05
59,92,63,66,41,69.5
55,41,88,82,67,60.9
53,68,81,41,49,60.05
68,58,67,56,53,60.3
91,55,53,66,78,67.0
66,58,53,64,76,62.45
51,63,45,54,59,55.95
60,55,46,52,83,58.4
53,97,61,74,82,77.1
68,68,78,84,91,75.35
99,52,88,63,87,73.7
62,94,91,50,40,72.45
54,40,68,42,56,49.7
95,98,92,99,57,90.5
100,96,100,47,76,87.05
80,67,41,40,40,57.6
54,71,56,95,61,67.45
55,42,47,65,46,49.4
79,43,79,91,76,67.75
61,83,42,62,76,68.25
88,90,98,43,44,76.85
66,40,55,91,55,57.35
54,61,58,99,44,62.3
42,70,85,81,79,69.65
74,83,58,40,77,70.1
47,65,98,54,87,68.0
66,94,57,99,78,81.2
79,56,50,54,92,64.8
83,69,45,51,58,63.85
87,51,59,75,50,62.85
60,55,43,42,84,56.6
58,98,84,72,50,76.8
68,92,84,56,57,75.35
84,75,50,51,93,72.15
45,72,99,96,54,71.55
76,69,44,55,89,67.55
65,52,63,62,91,63.6
64,66,63,73,49,63.65
96,47,76,60,44,62.65
72,60,57,73,70,65.4
100,91,42,86,99,85.9
61,51,97,46,92,65.3
77,77,99,91,67,80.9
92,49,84,45,93,68.85
59,86,51,89,93,76.85
72,82,74,84,45,73.55
87,41,59,96,49,62.35
100,48,100,47,100,73.85
72,74,99,88,54,76.45
93,76,82,53,83,77.9
81,45,91,59,72,65.25
46,53,53,94,77,61.35
45,67,65,61,53,59.3
73,60,100,61,66,69.65
40,61,60,50,81,58.0
63,81,79,100,66,77.7
43,99,72,69,43,70.85
44,99,92,47,93,78.25
53,74,56,87,78,69.65
77,65,90,77,91,76.85
45,44,69,41,84,53.5
91,84,93,79,44,80.0
60,65,66,99,69,69.85
61,79,86,80,70,75.25
42,44,81,42,94,56.35
44,50,100,55,94,63.65
65,98,40,48,62,69.8
81,48,43,70,57,58.5
67,98,71,66,90,81.75
95,60,43,86,63,68.8
79,89,95,98,47,82.95
73,51,52,60,91,62.9
56,41,84,59,84,59.6
85,67,70,64,82,72.85
84,83,84,97,58,81.7
78,77,64,90,55,73.9
81,76,78,52,49,69.65
48,50,43,59,98,57.1
56,65,70,42,95,65.0
40,41,76,79,47,52.65
65,76,61,97,52,71.1
40,62,41,65,89,58.95
99,84,60,89,83,84.0
77,71,79,59,100,75.95
87,93,92,43,90,83.7
69,70,48,61,48,61.85
44,50,82,50,75,57.35
58,94,75,46,69,73.0
56,92,49,62,89,73.4
98,90,58,44,82,78.7
78,67,44,55,60,62.9
82,68,82,49,57,68.4
59,94,80,87,98,84.45
61,89,47,89,100,78.75
77,80,59,90,58,74.45
69,74,49,59,60,64.9
73,80,52,46,95,71.55
81,92,82,46,60,76.6
62,99,49,88,85,80.35
99,50,46,62,100,68.5
73,50,41,49,92,59.4
92,54,51,72,47,62.8
83,68,82,43,86,72.05
54,66,60,65,68,62.85
69,58,97,86,66,71.45
45,100,81,45,98,77.6
93,55,76,99,86,77.0
99,41,44,48,85,60.7
81,60,90,70,55,69.45
74,50,63,83,42,60.5
60,52,74,92,69,65.45
66,78,48,58,50,63.9
54,40,75,54,84,56.75
90,98,43,55,51,74.65
70,60,61,71,58,63.5
97,93,67,62,97,85.85
94,59,91,59,62,71.25
95,84,90,88,82,87.4
54,91,73,75,93,78.8
96,81,97,57,77,82.2
42,41,80,83,60,56.2
45,66,89,62,83,67.2
90,78,89,59,52,75.3
65,45,48,90,83,61.9
58,73,54,64,47,61.9
55,50,88,54,69,60.15
52,55,92,91,74,68.2
100,80,98,80,96,89.1
48,54,80,78,47,59.25
97,69,52,98,49,73.4
87,68,70,94,54,73.9
95,61,41,47,44,60.15
80,88,43,96,71,78.3
86,99,65,77,82,85.45
99,86,65,52,70,77.95
83,89,70,67,54,76.4
67,97,66,88,46,77.35
71,91,43,74,87,76.65
43,76,53,41,64,58.9
42,88,88,59,94,75.35
50,86,52,100,75,74.15
44,96,82,52,40,68.5
86,66,83,64,67,72.4
59,63,86,53,67,64.75
53,95,100,78,43,77.0
44,57,44,49,47,49.75
58,99,75,76,52,76.7
72,70,67,57,75,68.75
65,77,97,43,100,75.95
87,63,53,100,76,73.8
79,62,40,74,95,68.85
59,89,63,94,97,81.05
47,85,78,94,78,76.65
98,91,62,91,69,84.75
66,85,40,78,98,75.35
53,59,94,70,58,64.55
48,80,79,83,63,71.35
69,65,54,100,65,69.4
66,69,69,59,69,66.9
41,53,65,100,59,60.35
92,83,56,84,86,81.35
53,51,63,75,57,57.7
79,48,53,96,49,62.3
94,46,78,83,61,68.2
76,99,90,99,46,85.1
43,63,74,58,55,58.7
98,96,57,78,59,82.3
73,55,45,91,99,69.1
45,48,69,78,72,58.65
46,69,48,97,55,63.35
64,80,89,96,49,75.9
55,77,98,78,64,73.95
94,45,43,69,89,64.7
53,82,93,89,53,74.55
82,55,99,56,81,71.05
68,90,56,59,89,75.7
46,70,98,83,96,75.25
40,41,45,62,82,50.7
66,48,49,90,95,65.1
99,51,61,58,46,62.4
90,100,45,90,100,88.25
55,79,70,53,47,64.15
64,91,57,41,94,73.45
54,59,53,100,96,68.8
86,74,67,43,77,71.15
63,98,76,43,81,76.9
44,91,67,91,73,75.3
100,81,46,68,48,72.65
64,85,70,68,77,74.8
67,57,70,44,49,57.8
93,75,65,85,96,81.75
44,46,55,56,96,55.95
94,72,69,75,81,77.75
92,47,69,96,98,74.3
44,90,87,70,86,76.75
81,60,86,95,82,76.65
53,88,97,69,79,78.15
94,75,81,95,59,80.3
92,91,84,86,62,85.05
55,80,43,56,40,59.85
51,42,71,87,69,58.95
78,96,41,78,94,81.15
84,72,98,81,83,81.3
75,63,46,73,59,63.75
91,88,47,40,57,70.6
72,82,52,40,60,65.9
65,84,56,75,92,75.85
63,47,95,80,76,66.7
60,98,70,83,81,81.4
43,49,78,66,95,61.6
69,79,47,83,69,71.3
51,51,84,43,45,53.85
43,40,72,48,74,51.7
49,83,40,41,75,62.25
56,88,60,62,80,72.3
72,100,40,87,93,82.4
90,64,70,71,97,76.1
93,96,62,79,95,87.6
68,81,66,81,85,76.75
98,77,69,62,49,73.55
64,74,42,60,55,62.25
75,80,96,85,54,78.25
61,47,74,77,67,61.35
46,71,71,69,75,66.3
95,74,42,47,90,71.75
50,40,46,78,71,53.25
40,63,78,56,86,63.05
58,62,90,50,78,66.0
80,60,72,56,48,63.4
100,73,75,51,98,79.15
67,69,41,59,91,66.2
88,60,87,41,41,63.95
88,51,85,48,87,68.45
43,91,50,47,46,61.9
49,62,48,48,67,55.95
75,70,45,42,88,65.75
84,79,47,52,75,70.55
61,47,82,46,49,55.2
49,62,44,92,46,58.8
67,74,76,54,59,67.65
84,60,65,98,98,76.95
51,84,62,60,91,71.55
82,40,85,81,48,62.5
64,50,53,77,77,61.35
61,42,93,67,65,60.65
57,75,62,61,83,68.55
43,59,85,40,72,58.8
66,63,71,71,46,63.45
95,56,57,57,92,69.5
82,42,67,80,82,65.45
100,77,55,56,78,75.3
83,83,61,97,55,77.6
100,79,82,86,54,80.95
73,96,88,40,44,74.0
99,57,85,76,48,71.1
40,59,71,100,47,61.35
57,44,45,95,98,62.5
62,85,58,83,58,72.0
58,93,65,46,43,67.25
74,58,65,46,43,58.2
57,83,60,99,94,78.4
67,88,84,45,55,71.8
83,88,48,97,65,78.9
45,49,61,97,40,55.85
40,77,62,71,79,66.75
66,90,89,42,86,77.25
54,85,76,62,85,74.0
97,53,54,94,92,73.95
47,90,52,84,52,69.1
83,96,76,46,71,79.15
48,48,65,60,52,52.95
89,95,79,56,69,81.65
70,50,67,89,55,63.15
86,73,56,74,41,68.4
69,69,75,74,43,66.75
69,54,68,77,89,67.8
78,82,74,93,65,79.1
47,55,84,50,82,61.05
87,48,65,76,61,64.5
88,62,77,96,85,78.0
80,74,84,50,69,72.35
98,67,81,89,70,79.05
52,93,88,71,59,75.65
73,78,69,82,84,77.15
99,81,90,51,88,82.5
43,72,65,72,82,66.65
100,59,92,67,41,70.65
81,72,87,96,75,80.1
40,42,58,92,49,52.55
86,63,49,46,48,60.7
75,97,94,76,98,89.15
96,49,43,74,44,60.5
83,59,73,73,43,65.6
40,40,59,75,78,53.8
41,83,61,61,95,69.8
81,51,83,73,96,71.85
44,96,100,45,84,76.75
59,97,53,61,74,73.95
47,66,75,70,41,60.4
94,63,81,98,56,76.1
40,55,59,94,58,58.9
91,43,76,40,50,58.15
51,43,98,86,86,65.75
92,56,86,50,43,64.85
49,81,98,93,49,74.15
95,43,100,57,62,66.9
84,47,65,46,77,61.45
83,53,69,86,75,69.65
67,66,88,41,46,62.75
64,45,55,55,76,56.45
62,95,63,54,74,74.3
49,56,61,93,47,59.55
44,90,53,82,61,69.7
100,56,46,68,66,66.6
92,78,69,72,86,79.75
86,65,86,58,60,70.55
50,85,79,58,97,74.85
78,96,91,74,73,84.9
69,99,63,87,48,78.15
84,42,90,66,88,68.1
63,46,56,49,47,51.5
54,58,53,44,74,56.75
85,66,73,99,78,77.6
93,68,100,61,97,81.1
74,59,57,87,68,67.25
81,79,42,99,72,75.8
85,92,47,79,100,83.1
46,76,40,78,61,62.65
83,78,78,83,87,81.1
87,76,84,95,45,77.6
86,45,78,90,95,72.4
85,88,71,43,100,79.9
80,50,46,51,92,61.85
98,64,70,64,61,71.25
61,73,88,81,91,76.75
79,66,69,48,76,67.85
50,43,79,51,42,50.85
40,44,59,85,52,52.8
73,64,94,98,52,73.6
61,95,86,70,61,78.0
47,81,60,82,45,65.8
62,68,70,87,49,67.1
62,89,43,73,78,72.65
67,86,86,63,88,79.05
53,74,67,93,46,67.4
97,57,41,83,59,66.8
100,77,81,89,78,84.15
73,62,78,55,97,70.8
64,45,59,53,62,54.65
97,64,56,95,61,73.6
97,59,40,43,69,62.85
45,52,86,74,52,59.0
82,88,62,60,51,73.15
47,85,69,53,92,71.25
77,55,62,56,93,66.3
68,45,48,91,87,63.25
54,76,83,74,71,71.6
62,70,49,69,52,62.4
83,49,55,71,54,60.75
91,44,82,88,98,73.8
62,74,94,70,54,71.0
85,41,97,81,76,69.45
75,84,69,72,64,75.15
55,84,49,63,92,71.0
85,84,47,50,88,74.15
90,44,46,76,73,62.65
55,54,42,69,80,58.55
46,49,60,53,56,51.7
98,95,58,99,67,86.45
76,85,53,77,76,75.85
83,69,53,50,73,67.15
53,82,61,83,54,69.0
78,64,70,53,61,65.6
91,89,60,44,40,70.95
67,44,78,89,93,67.8
85,47,80,47,53,60.45
75,43,75,87,52,62.15
62,68,82,77,68,70.25
89,53,50,48,52,58.85
74,73,75,42,91,71.55
72,58,70,88,53,66.35
76,67,62,71,86,71.5
67,52,72,62,68,61.9
43,52,53,65,41,50.65
60,63,62,72,91,67.8
51,63,67,50,71,60.45
53,75,61,51,67,63.7
96,78,93,88,93,87.6
84,61,46,88,98,72.95
81,81,42,80,41,69.0
56,82,47,90,53,68.4
99,72,81,82,84,82.05
61,54,92,95,67,69.2
42,92,42,63,64,65.95
50,72,74,91,99,74.8
71,51,80,78,93,69.7
77,96,55,98,40,77.95
81,41,82,67,93,66.85
45,49,97,68,61,60.05
99,68,56,54,66,70.0
100,51,68,67,55,66.35
64,92,93,48,40,72.15
67,64,41,41,60,57.1
54,89,56,41,63,65.95
94,100,47,47,86,80.8
89,79,92,69,72,80.4
86,90,98,58,42,78.4
82,48,98,55,90,69.65
46,98,78,100,93,84.15
59,75,48,58,87,67.0
47,42,56,67,69,52.9
62,94,100,89,42,79.95
40,65,98,54,49,60.9
94,92,84,86,48,83.7
52,74,52,86,48,64.2
95,88,86,72,98,88.2
77,56,71,97,78,71.9
67,67,60,58,93,68.5
57,74,42,79,57,64.0
75,60,48,40,61,58.35
63,56,43,50,40,52.15
72,53,58,87,86,67.6
74,57,63,80,66,66.1
94,64,44,78,94,73.6
77,87,77,72,84,80.8
90,97,72,100,75,89.0
84,87,68,69,54,75.9
65,45,52,65,98,61.0
94,86,73,81,79,83.85
93,76,55,58,96,76.55
66,48,60,56,84,60.0
64,64,76,72,65,67.15
76,61,99,100,51,74.05
79,63,49,82,83,69.95
65,66,91,85,62,71.8
63,85,98,86,45,76.7
61,95,92,82,76,82.95
99,46,45,90,84,68.75
88,55,45,45,91,64.0
98,99,48,55,84,82.3
59,91,65,42,83,72.15
80,53,83,47,48,61.25
50,60,61,47,76,58.6
45,63,57,80,86,64.5
49,71,69,89,96,72.75
91,92,52,98,48,80.1
92,90,81,56,84,83.05
89,78,86,54,96,80.5
73,59,67,97,46,66.75
54,77,96,92,41,72.1
71,80,56,80,86,75.5
47,63,72,70,76,64.15
57,95,84,95,48,78.7
51,43,51,63,48,49.55
63,83,52,67,65,69.25
88,84,96,46,49,75.65
97,70,59,51,64,70.0
95,84,94,40,78,80.2
58,85,65,66,74,72.1
46,75,100,64,43,66.5
71,78,81,68,55,72.1
40,51,90,49,78,58.4
42,76,80,86,53,67.85
80,69,80,41,94,72.4
53,44,74,69,62,56.75
61,78,77,45,70,68.3
63,65,91,62,79,70.15
94,90,99,47,79,84.05
88,43,44,52,45,53.8
66,73,63,56,63,66.05
66,96,83,43,75,76.95
61,73,59,80,94,72.7
96,58,58,69,75,69.8
89,61,52,53,97,69.45
54,46,43,92,90,60.65
41,56,40,80,98,60.5
81,55,100,47,49,64.85
50,53,74,89,100,68.0
89,81,82,54,50,74.05
72,55,60,79,44,61.1
90,70,75,70,65,74.0
